[1613, 1163]
[folio, [67.0, 101.0, 67.0, 36.0], xJNeGOc1yr, 5772988]
[paragraph, [77.0, 131.0, 492.0, 36.0], 90JfDdBs6M, 5772988]
[paragraph, [77.0, 167.0, 492.0, 36.0], 90JfDdBs6M, 5772988]
[paragraph, [77.0, 203.0, 492.0, 36.0], 90JfDdBs6M, 5772988]
[paragraph, [77.0, 239.0, 492.0, 36.0], 90JfDdBs6M, 5772988]
[paragraph, [77.0, 275.0, 492.0, 36.0], 90JfDdBs6M, 5772988]
[paragraph, [591.0, 141.0, 507.0, 36.0], bPKS-VK4vA, 5772988]
[paragraph, [591.0, 177.0, 507.0, 36.0], bPKS-VK4vA, 5772988]
[paragraph, [591.0, 213.0, 507.0, 36.0], bPKS-VK4vA, 5772988]
[paragraph, [591.0, 249.0, 507.0, 36.0], bPKS-VK4vA, 5772988]
[paragraph, [590.0, 314.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 350.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 386.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 422.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 458.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 494.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [590.0, 530.0, 496.0, 36.0], eTjqp5DPIr, 5772988]
[paragraph, [69.0, 342.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 378.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 414.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 450.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 486.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 522.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [69.0, 558.0, 491.0, 36.0], nkAEYqwA79, 5772988]
[paragraph, [604.0, 595.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 631.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 667.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 703.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 739.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 775.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 811.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [604.0, 847.0, 489.0, 36.0], -XARtti5iY, 5772988]
[paragraph, [77.0, 606.0, 483.0, 36.0], vJ4OaEN6hj, 5772988]
[paragraph, [77.0, 642.0, 483.0, 36.0], vJ4OaEN6hj, 5772988]
[paragraph, [77.0, 678.0, 483.0, 36.0], vJ4OaEN6hj, 5772988]
[paragraph, [77.0, 714.0, 483.0, 36.0], vJ4OaEN6hj, 5772988]
[paragraph, [77.0, 750.0, 483.0, 36.0], vJ4OaEN6hj, 5772988]
[paragraph, [69.0, 810.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 846.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 882.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 918.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 954.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 990.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 1026.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [69.0, 1062.0, 492.0, 36.0], 0HLQEP2qj4, 5772988]
[paragraph, [603.0, 884.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 920.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 956.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 992.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1028.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1064.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1100.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1136.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1172.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1208.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1244.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [603.0, 1280.0, 489.0, 36.0], _DTIGsDOb5, 5772988]
[paragraph, [71.0, 1104.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
[paragraph, [71.0, 1140.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
[paragraph, [71.0, 1176.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
[paragraph, [71.0, 1212.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
[paragraph, [71.0, 1248.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
[paragraph, [71.0, 1284.0, 496.0, 36.0], 3HxYbw65_l, 5772988]
