[792, 612]
[folio, [30.0, 56.0, 103.0, 18.0], shoonya_6sGRR4IR4XX97B, 5654473]
[folio, [30.0, 74.0, 103.0, 18.0], shoonya_6sGRR4IR4XX97B, 5654473]
[paragraph, [83.0, 87.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [83.0, 105.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [83.0, 123.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [83.0, 141.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [83.0, 159.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [83.0, 177.0, 198.0, 18.0], shoonya_2sPQM5XFE5NAA3, 5654473]
[paragraph, [309.0, 90.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 108.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 126.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 144.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 162.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 180.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [309.0, 198.0, 221.0, 18.0], shoonya_0sVOWAI7KVXUKE, 5654473]
[paragraph, [97.0, 259.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 277.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 295.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 313.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 331.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 349.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 367.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 385.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 403.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 421.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 439.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 457.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 475.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 493.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [97.0, 511.0, 268.0, 18.0], ahEwhOsZ18, 5654473]
[paragraph, [391.0, 298.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 316.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 334.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 352.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 370.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 388.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 406.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 424.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 442.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 460.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 478.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 496.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 514.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 532.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 550.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 568.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 586.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 604.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[paragraph, [391.0, 622.0, 151.0, 18.0], shoonya_1sQN2SWHLMGFA7, 5654473]
[author, [394.0, 642.0, 130.0, 18.0], bhbCMnRCkq, 5654473]
[folio, [78.0, 734.0, 59.0, 18.0], 5wuLjjtUpN, 5654473]
