[3300, 2550]
[paragraph, [264.0, 1696.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 1748.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 1801.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 1853.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 1906.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 1958.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2011.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2063.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2116.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2168.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2221.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2273.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2326.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2378.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2431.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2483.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2536.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2588.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2641.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2693.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2746.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2798.5, 2024.0, 52.5], MXikgalLcZ, 5720499]
[paragraph, [264.0, 2851.0, 2024.0, 52.5], MXikgalLcZ, 5720499]
