[1754, 1241]
[ordered-list, [168.0, 159.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 195.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 231.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 267.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 303.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 339.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 375.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 411.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 447.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 483.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 519.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 555.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 591.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 627.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 663.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 699.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 735.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 771.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 807.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 843.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 879.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 915.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 951.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 987.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1023.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1059.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1095.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1131.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1167.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[ordered-list, [168.0, 1203.0, 945.0, 36.0], shoonya_0s8QN6UX2TBLAS, 5746819]
[sub-section-title, [142.0, 1351.0, 206.0, 36.0], shoonya_1sOPJNUE20C5WE, 5746819]
[unordered-list, [166.0, 1408.0, 929.0, 36.0], shoonya_2sICBNRS0U22HQ, 5746819]
[unordered-list, [166.0, 1444.0, 929.0, 36.0], shoonya_2sICBNRS0U22HQ, 5746819]
[unordered-list, [166.0, 1480.0, 929.0, 36.0], shoonya_2sICBNRS0U22HQ, 5746819]
