[853, 552]
[paragraph, [59.0, 87.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 105.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 123.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 141.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 159.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 177.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 195.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 213.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 231.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 249.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 267.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 285.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 303.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 321.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 339.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 357.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 375.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 393.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 411.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 429.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 447.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 465.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 483.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 501.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 519.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 537.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 555.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 573.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 591.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 609.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 627.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 645.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 663.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 681.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 699.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
[paragraph, [59.0, 717.0, 431.0, 18.0], shoonya_0sY4JQU84FNWY9, 5774020]
