[1518, 1075]
[folio, [249.0, 169.0, 567.0, 36.0], shoonya_4sXGD5EHGJFICT, 5722722]
[headline, [236.0, 220.0, 589.0, 37.5], ZD_ZtT6AH7, 5722722]
[contact-info, [103.0, 299.0, 845.0, 36.0], p8_8TRw6uV, 5722722]
[contact-info, [103.0, 335.0, 845.0, 36.0], p8_8TRw6uV, 5722722]
[paragraph, [536.0, 387.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 423.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 459.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 495.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 531.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 567.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 603.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 639.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 675.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 711.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 747.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [536.0, 783.0, 428.0, 36.0], shoonya_1sUACPKO21490R, 5722722]
[paragraph, [93.0, 389.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 425.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 461.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 497.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 533.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 569.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 605.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 641.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 677.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 713.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [93.0, 749.0, 425.0, 36.0], shoonya_3sBZAD5PIV9I56, 5722722]
[paragraph, [92.0, 810.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 846.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 882.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 918.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 954.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 990.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 1026.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [92.0, 1062.0, 427.0, 36.0], shoonya_0sQRYWOWGY6R44, 5722722]
[paragraph, [535.0, 838.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 874.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 910.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 946.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 982.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 1018.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[paragraph, [535.0, 1054.0, 429.0, 36.0], shoonya_2sOY3JNHBXGIZ1, 5722722]
[sidebar, [97.0, 1130.0, 859.0, 36.0], hnNCFPYb0Y, 5722722]
[sidebar, [97.0, 1166.0, 859.0, 36.0], hnNCFPYb0Y, 5722722]
[sidebar, [97.0, 1202.0, 859.0, 36.0], hnNCFPYb0Y, 5722722]
[sidebar, [97.0, 1238.0, 859.0, 36.0], hnNCFPYb0Y, 5722722]
[sidebar, [97.0, 1274.0, 859.0, 36.0], hnNCFPYb0Y, 5722722]
[contact-info, [145.0, 1171.0, 757.0, 36.0], BVj7PXNwXG, 5722722]
[contact-info, [145.0, 1207.0, 757.0, 36.0], BVj7PXNwXG, 5722722]
[contact-info, [145.0, 1243.0, 757.0, 36.0], BVj7PXNwXG, 5722722]
[contact-info, [145.0, 1279.0, 757.0, 36.0], BVj7PXNwXG, 5722722]
[folio, [95.0, 1349.0, 866.0, 36.0], JYqs3PVVqZ, 5722722]
[folio, [671.0, 1387.0, 206.0, 36.0], 4yghfeJZr9, 5722722]
