[1754, 1241]
[section-title, [140.0, 192.0, 201.0, 49.5], _M6ZrtCVGs, 5726208]
[sub-section-title, [139.0, 280.0, 258.0, 36.0], ytnKa9u_0m, 5726208]
[unordered-list, [170.0, 348.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 384.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 420.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 456.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 492.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 528.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 564.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 600.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 636.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 672.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 708.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 744.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 780.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 816.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 852.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 888.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 924.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 960.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 996.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 1032.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 1068.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[unordered-list, [170.0, 1104.0, 951.0, 36.0], yEc_7rLUhu, 5726208]
[sub-section-title, [140.0, 1183.0, 230.0, 36.0], VTTfKMb-nE, 5726208]
[unordered-list, [167.0, 1250.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1286.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1322.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1358.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1394.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1430.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1466.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1502.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[unordered-list, [167.0, 1538.0, 899.0, 36.0], shoonya_0sL3WV76TKBVR5, 5726208]
[folio, [686.0, 1616.0, 410.0, 36.0], fs6jz1_soh, 5726208]
