[792, 612]
[folio, [244.0, 53.0, 97.0, 18.0], mM_krimg95, 6492472]
[paragraph, [85.0, 97.0, 424.0, 18.0], 5RXlQhZYnc, 6492472]
[paragraph, [85.0, 115.0, 424.0, 18.0], 5RXlQhZYnc, 6492472]
[paragraph, [84.0, 145.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 163.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 181.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 199.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 217.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 235.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 253.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 271.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 289.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 307.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 325.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 343.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 361.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 379.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [84.0, 397.0, 426.0, 18.0], hKrkiMm50I, 6492472]
[paragraph, [131.0, 428.0, 304.0, 18.0], -A9STUxSwT, 6492472]
[paragraph, [91.0, 452.0, 417.0, 18.0], UIM6Kp2Q9C, 6492472]
[paragraph, [91.0, 470.0, 417.0, 18.0], UIM6Kp2Q9C, 6492472]
[paragraph, [84.0, 501.0, 422.0, 18.0], NH9_VnTaVr, 6492472]
[paragraph, [84.0, 519.0, 422.0, 18.0], NH9_VnTaVr, 6492472]
[paragraph, [92.0, 548.0, 414.0, 18.0], QbJanWtoCW, 6492472]
[paragraph, [92.0, 566.0, 414.0, 18.0], QbJanWtoCW, 6492472]
[paragraph, [130.0, 594.0, 274.0, 18.0], wjpEVbHkJR, 6492472]
[paragraph, [130.0, 612.0, 274.0, 18.0], wjpEVbHkJR, 6492472]
[paragraph, [90.0, 642.0, 415.0, 18.0], A_uhBLkup4, 6492472]
[paragraph, [90.0, 660.0, 415.0, 18.0], A_uhBLkup4, 6492472]
[paragraph, [90.0, 678.0, 415.0, 18.0], A_uhBLkup4, 6492472]
[paragraph, [90.0, 696.0, 415.0, 18.0], A_uhBLkup4, 6492472]
[paragraph, [90.0, 714.0, 415.0, 18.0], A_uhBLkup4, 6492472]
