[1220, 755]
[paragraph, [67.0, 58.0, 629.0, 18.0], shoonya_7sKWQQXDQHYL5X, 6469813]
[paragraph, [67.0, 76.0, 629.0, 18.0], shoonya_7sKWQQXDQHYL5X, 6469813]
[paragraph, [67.0, 94.0, 629.0, 18.0], shoonya_7sKWQQXDQHYL5X, 6469813]
[paragraph, [62.0, 129.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [62.0, 147.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [62.0, 165.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [62.0, 183.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [62.0, 201.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [62.0, 219.0, 633.0, 18.0], RbPuRiZOsK, 6469813]
[paragraph, [65.0, 256.0, 626.0, 18.0], m1Gp6PVRcv, 6469813]
[paragraph, [65.0, 274.0, 626.0, 18.0], m1Gp6PVRcv, 6469813]
[paragraph, [65.0, 292.0, 626.0, 18.0], m1Gp6PVRcv, 6469813]
[paragraph, [62.0, 323.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [62.0, 341.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [62.0, 359.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [62.0, 377.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [62.0, 395.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [62.0, 413.0, 629.0, 18.0], F2cOPB2V8x, 6469813]
[paragraph, [65.0, 450.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 468.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 486.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 504.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 522.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 540.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 558.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 576.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [65.0, 594.0, 625.0, 18.0], SnzzpD4noF, 6469813]
[paragraph, [63.0, 632.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 650.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 668.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 686.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 704.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 722.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 740.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 758.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 776.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 794.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 812.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 830.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 848.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 866.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 884.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 902.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 920.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 938.0, 625.0, 18.0], yw1PzYI9Qd, 6469813]
[paragraph, [63.0, 959.0, 623.0, 18.0], 6teqDCUlMj, 6469813]
[paragraph, [63.0, 977.0, 623.0, 18.0], 6teqDCUlMj, 6469813]
[paragraph, [63.0, 995.0, 623.0, 18.0], 6teqDCUlMj, 6469813]
[paragraph, [60.0, 1029.0, 627.0, 18.0], izlwBz-QUl, 6469813]
[paragraph, [60.0, 1047.0, 627.0, 18.0], izlwBz-QUl, 6469813]
[paragraph, [60.0, 1065.0, 627.0, 18.0], izlwBz-QUl, 6469813]
[paragraph, [60.0, 1083.0, 627.0, 18.0], izlwBz-QUl, 6469813]
[paragraph, [60.0, 1101.0, 627.0, 18.0], izlwBz-QUl, 6469813]
