[792, 612]
[paragraph, [188.0, 37.0, 374.0, 18.0], shoonya_0sXB7Q2D91L4YS, 6461093]
[paragraph, [186.0, 76.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [186.0, 94.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [186.0, 112.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [186.0, 130.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [186.0, 148.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [186.0, 166.0, 378.0, 18.0], OUfp42QsHq, 6461093]
[paragraph, [189.0, 218.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 236.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 254.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 272.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 290.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 308.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 326.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 344.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [189.0, 362.0, 378.0, 18.0], w0Nh5EyDNS, 6461093]
[paragraph, [188.0, 396.0, 364.0, 18.0], LaZebtayjD, 6461093]
[paragraph, [188.0, 414.0, 364.0, 18.0], LaZebtayjD, 6461093]
[paragraph, [182.0, 445.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [182.0, 463.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [182.0, 481.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [182.0, 499.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [182.0, 517.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [182.0, 535.0, 387.0, 18.0], qP7KOqasxc, 6461093]
[paragraph, [189.0, 585.0, 383.0, 18.0], EDYZl_3_zD, 6461093]
[paragraph, [189.0, 603.0, 383.0, 18.0], EDYZl_3_zD, 6461093]
[paragraph, [189.0, 621.0, 383.0, 18.0], EDYZl_3_zD, 6461093]
[paragraph, [189.0, 639.0, 383.0, 18.0], EDYZl_3_zD, 6461093]
[paragraph, [189.0, 657.0, 383.0, 18.0], EDYZl_3_zD, 6461093]
