[589, 405]
[section-title, [148.0, 66.0, 91.0, 30.0], SYyD8dnNzQ, 6494257]
[paragraph, [33.0, 132.0, 325.0, 18.0], liPljjEo_Y, 6494257]
[paragraph, [33.0, 150.0, 325.0, 18.0], liPljjEo_Y, 6494257]
[paragraph, [33.0, 168.0, 325.0, 18.0], liPljjEo_Y, 6494257]
[paragraph, [37.0, 217.0, 319.0, 18.0], _nrIevefYa, 6494257]
[paragraph, [36.0, 253.0, 319.0, 18.0], 7XBIr6626J, 6494257]
[paragraph, [36.0, 271.0, 319.0, 18.0], 7XBIr6626J, 6494257]
[paragraph, [36.0, 289.0, 319.0, 18.0], 7XBIr6626J, 6494257]
[paragraph, [36.0, 307.0, 319.0, 18.0], 7XBIr6626J, 6494257]
[paragraph, [34.0, 338.0, 324.0, 18.0], x9gE9tDXge, 6494257]
[paragraph, [34.0, 356.0, 324.0, 18.0], x9gE9tDXge, 6494257]
[paragraph, [34.0, 374.0, 324.0, 18.0], x9gE9tDXge, 6494257]
[paragraph, [34.0, 392.0, 324.0, 18.0], x9gE9tDXge, 6494257]
[paragraph, [34.0, 423.0, 325.0, 18.0], b-39tJ_eYu, 6494257]
[paragraph, [34.0, 441.0, 325.0, 18.0], b-39tJ_eYu, 6494257]
[paragraph, [34.0, 459.0, 325.0, 18.0], b-39tJ_eYu, 6494257]
[paragraph, [34.0, 477.0, 325.0, 18.0], b-39tJ_eYu, 6494257]
[paragraph, [34.0, 495.0, 325.0, 18.0], b-39tJ_eYu, 6494257]
