[585, 406]
[author, [285.0, 131.0, 76.0, 18.0], IkEohIZNqt, 6496206]
[paragraph, [55.0, 153.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 171.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 189.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 207.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 225.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 243.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [55.0, 261.0, 311.0, 18.0], shoonya_0s0FV7ZD1YN9M7, 6496206]
[paragraph, [57.0, 290.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 308.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 326.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 344.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 362.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 380.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 398.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 416.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 434.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [57.0, 452.0, 307.0, 18.0], YGp6Jl-eAf, 6496206]
[paragraph, [59.0, 474.0, 311.0, 18.0], 8qUL-aSuK2, 6496206]
[paragraph, [59.0, 492.0, 311.0, 18.0], 8qUL-aSuK2, 6496206]
