[1806, 1262]
[folio, [620.0, 104.0, 470.0, 36.0], shoonya_0s73Y3FS8VSVO1, 5681439]
[paragraph, [85.0, 174.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 210.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 246.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 282.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 318.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 354.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 390.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 426.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 462.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [85.0, 498.0, 521.0, 36.0], shoonya_3sV49DDL58IBPW, 5681439]
[paragraph, [649.0, 177.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 213.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 249.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 285.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 321.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 357.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 393.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 429.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 465.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 501.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 537.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 573.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 609.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 645.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 681.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [649.0, 717.0, 521.0, 36.0], shoonya_7s227W5A2GQUMG, 5681439]
[paragraph, [85.0, 543.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 579.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 615.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 651.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 687.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 723.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 759.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 795.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 831.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 867.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 903.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 939.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 975.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 1011.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 1047.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [85.0, 1083.0, 520.0, 36.0], shoonya_4sBBGV8XK3S4Z0, 5681439]
[paragraph, [653.0, 763.0, 518.0, 36.0], shoonya_8sPAQHBD815H0Q, 5681439]
[paragraph, [653.0, 799.0, 518.0, 36.0], shoonya_8sPAQHBD815H0Q, 5681439]
[paragraph, [653.0, 835.0, 518.0, 36.0], shoonya_8sPAQHBD815H0Q, 5681439]
[paragraph, [653.0, 871.0, 518.0, 36.0], shoonya_8sPAQHBD815H0Q, 5681439]
