[842, 596]
[folio, [63.0, 33.0, 73.0, 18.0], dHlmMYdW6K, 6464768]
[website-link, [407.0, 34.0, 121.0, 18.0], DuQXVupFjG, 6464768]
[paragraph, [128.0, 62.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 80.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 98.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 116.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 134.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 152.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 170.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 188.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 206.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 224.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 242.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 260.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 278.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 296.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 314.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 332.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 350.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 368.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 386.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 404.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 422.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 440.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 458.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 476.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 494.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 512.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 530.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 548.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 566.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 584.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 602.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 620.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 638.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 656.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 674.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 692.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 710.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
[paragraph, [128.0, 728.0, 292.0, 18.0], gUs6ucTPvA, 6464768]
