[1037, 698]
[paragraph, [74.0, 117.0, 551.0, 18.0], shoonya_0sKN1W2KQ304CD, 5772442]
[paragraph, [74.0, 135.0, 551.0, 18.0], shoonya_0sKN1W2KQ304CD, 5772442]
[paragraph, [74.0, 153.0, 551.0, 18.0], shoonya_0sKN1W2KQ304CD, 5772442]
[ordered-list, [58.0, 183.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 201.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 219.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 237.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 255.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 273.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 291.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 309.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 327.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 345.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 363.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 381.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 399.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 417.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 435.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 453.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 471.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 489.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 507.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 525.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 543.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 561.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 579.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 597.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 615.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 633.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 651.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 669.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 687.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 705.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 723.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 741.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 759.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[ordered-list, [58.0, 777.0, 585.0, 18.0], hvHSn6LnkS, 5772442]
[paragraph, [52.0, 813.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 831.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 849.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 867.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 885.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 903.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 921.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
[paragraph, [52.0, 939.0, 601.0, 18.0], QeDi3a2ntH, 5772442]
