[1806, 1262]
[folio, [623.0, 105.0, 474.0, 36.0], shoonya_0s6Z3N4HCLADER, 5681422]
[paragraph, [91.0, 180.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 216.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 252.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 288.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 324.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 360.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 396.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [91.0, 432.0, 512.0, 36.0], shoonya_3sYL5TIJQ2VY4N, 5681422]
[paragraph, [649.0, 181.0, 511.0, 36.0], uHb9goX48O, 5681422]
[paragraph, [649.0, 217.0, 511.0, 36.0], uHb9goX48O, 5681422]
[paragraph, [646.0, 293.0, 514.0, 36.0], KR7D2F3cjh, 5681422]
[paragraph, [646.0, 329.0, 514.0, 36.0], KR7D2F3cjh, 5681422]
[paragraph, [649.0, 402.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 438.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 474.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 510.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 546.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 582.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 618.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 654.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 690.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [649.0, 726.0, 515.0, 36.0], fIzB5e8E8y, 5681422]
[paragraph, [93.0, 506.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 542.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 578.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 614.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 650.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 686.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 722.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 758.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 794.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 830.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 866.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 902.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 938.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 974.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 1010.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 1046.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 1082.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 1118.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [93.0, 1154.0, 506.0, 36.0], shoonya_4s3B9NRU8UGZE7, 5681422]
[paragraph, [653.0, 799.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 835.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 871.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 907.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 943.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 979.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1015.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1051.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1087.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1123.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1159.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1195.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [653.0, 1231.0, 518.0, 36.0], Tsvq4QbwEk, 5681422]
[paragraph, [95.0, 1238.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1274.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1310.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1346.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1382.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1418.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1454.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1490.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1526.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1562.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1598.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [95.0, 1634.0, 508.0, 36.0], shoonya_6sFXJ1MV67ATNP, 5681422]
[paragraph, [649.0, 1272.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1308.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1344.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1380.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1416.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1452.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1488.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1524.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1560.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1596.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1632.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
[paragraph, [649.0, 1668.0, 517.0, 36.0], YOwwtwP2fR, 5681422]
