[791, 543]
[paragraph, [11.0, 14.0, 468.0, 18.0], shoonya_0sHHZ2SCWQISLN, 5748484]
[paragraph, [11.0, 32.0, 468.0, 18.0], shoonya_0sHHZ2SCWQISLN, 5748484]
[paragraph, [11.0, 50.0, 468.0, 18.0], shoonya_0sHHZ2SCWQISLN, 5748484]
[paragraph, [11.0, 68.0, 468.0, 18.0], shoonya_0sHHZ2SCWQISLN, 5748484]
[paragraph, [12.0, 103.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [12.0, 121.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [12.0, 139.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [12.0, 157.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [12.0, 175.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [12.0, 193.0, 470.0, 18.0], Jw4svzZG2y, 5748484]
[paragraph, [8.0, 277.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 295.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 313.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 331.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 349.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 367.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 385.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 403.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 421.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 439.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [8.0, 457.0, 473.0, 18.0], aJ94WkbDdA, 5748484]
[paragraph, [10.0, 493.0, 473.0, 18.0], 750BvGHvdD, 5748484]
[paragraph, [10.0, 511.0, 473.0, 18.0], 750BvGHvdD, 5748484]
[paragraph, [10.0, 529.0, 473.0, 18.0], 750BvGHvdD, 5748484]
[paragraph, [10.0, 547.0, 473.0, 18.0], 750BvGHvdD, 5748484]
[paragraph, [9.0, 581.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 599.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 617.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 635.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 653.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 671.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
[paragraph, [9.0, 689.0, 475.0, 18.0], 747ZVv1O-y, 5748484]
