[2339, 1653]
[paragraph, [496.0, 172.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 208.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 244.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 280.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 316.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 352.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 388.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 424.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [496.0, 460.0, 648.0, 36.0], nW2Z7yLrWX, 5753538]
[paragraph, [223.0, 532.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 568.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 604.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 640.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 676.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 712.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 748.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 784.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 820.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [223.0, 856.0, 1204.0, 36.0], shoonya_1sUMQRB38BZGIP, 5753538]
[paragraph, [492.0, 926.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 962.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 998.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1034.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1070.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1106.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1142.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1178.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1214.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1250.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1286.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1322.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1358.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1394.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1430.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [492.0, 1466.0, 549.0, 36.0], shoonya_3sUGWE2IQS6DSM, 5753538]
[paragraph, [206.0, 1534.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1570.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1606.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1642.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1678.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1714.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1750.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1786.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1822.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1858.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1894.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[paragraph, [206.0, 1930.0, 1234.0, 36.0], shoonya_0sG2AFMLD5FE85, 5753538]
[reference, [230.0, 2002.0, 539.0, 36.0], shoonya_4sIWCIJYP3WC2F, 5753538]
[reference, [230.0, 2038.0, 539.0, 36.0], shoonya_4sIWCIJYP3WC2F, 5753538]
[reference, [230.0, 2074.0, 539.0, 36.0], shoonya_4sIWCIJYP3WC2F, 5753538]
[reference, [230.0, 2110.0, 539.0, 36.0], shoonya_4sIWCIJYP3WC2F, 5753538]
