[1103, 748]
[section-title, [161.0, 89.0, 434.0, 30.0], WhPDhVHQEs, 5781388]
[sub-section-title, [161.0, 136.0, 440.0, 25.5], uZIQnZ7J4Y, 5781388]
[subsub-section-title, [250.0, 166.0, 246.0, 15.0], _fbhWGZZaO, 5781388]
[subsub-section-title, [250.0, 181.0, 246.0, 15.0], _fbhWGZZaO, 5781388]
[paragraph, [80.0, 203.0, 605.0, 18.0], shoonya_4sBSKFM46CUR67, 5781388]
[paragraph, [80.0, 221.0, 605.0, 18.0], shoonya_4sBSKFM46CUR67, 5781388]
[paragraph, [80.0, 239.0, 605.0, 18.0], shoonya_4sBSKFM46CUR67, 5781388]
[paragraph, [80.0, 257.0, 605.0, 18.0], shoonya_4sBSKFM46CUR67, 5781388]
[paragraph, [80.0, 275.0, 605.0, 18.0], shoonya_4sBSKFM46CUR67, 5781388]
[paragraph, [79.0, 299.0, 600.0, 18.0], shoonya_5s2Q9I4ZFGPS2U, 5781388]
[paragraph, [79.0, 317.0, 600.0, 18.0], shoonya_5s2Q9I4ZFGPS2U, 5781388]
[paragraph, [79.0, 335.0, 600.0, 18.0], shoonya_5s2Q9I4ZFGPS2U, 5781388]
[paragraph, [79.0, 353.0, 600.0, 18.0], shoonya_5s2Q9I4ZFGPS2U, 5781388]
[paragraph, [79.0, 371.0, 600.0, 18.0], shoonya_5s2Q9I4ZFGPS2U, 5781388]
[paragraph, [77.0, 414.0, 597.0, 18.0], shoonya_1sNYIQXA4NG8JY, 5781388]
[paragraph, [77.0, 432.0, 597.0, 18.0], shoonya_1sNYIQXA4NG8JY, 5781388]
[paragraph, [79.0, 472.0, 602.0, 18.0], shoonya_2sEHELPETRNU8F, 5781388]
[paragraph, [79.0, 490.0, 602.0, 18.0], shoonya_2sEHELPETRNU8F, 5781388]
[paragraph, [79.0, 508.0, 602.0, 18.0], shoonya_2sEHELPETRNU8F, 5781388]
[paragraph, [79.0, 526.0, 602.0, 18.0], shoonya_2sEHELPETRNU8F, 5781388]
[paragraph, [79.0, 544.0, 602.0, 18.0], shoonya_2sEHELPETRNU8F, 5781388]
[subsub-section-title, [211.0, 595.0, 319.0, 15.0], shoonya_6sURPZ7CU5X16M, 5781388]
[subsub-section-title, [211.0, 610.0, 319.0, 15.0], shoonya_6sURPZ7CU5X16M, 5781388]
[paragraph, [91.0, 635.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 653.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 671.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 689.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 707.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 725.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 743.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[paragraph, [91.0, 761.0, 561.0, 18.0], shoonya_0s2SFCTBX2BXUD, 5781388]
[folio, [164.0, 938.0, 396.0, 18.0], 0shQbbAERH, 5781388]
[quote, [296.0, 945.0, 257.0, 18.0], sA_dt-0qwU, 5781388]
