[792, 612]
[section-title, [93.0, 118.0, 159.0, 30.0], shoonya_0sZNZDBZII5DZW, 6461565]
[paragraph, [197.0, 161.0, 208.0, 18.0], 8FgcMha_H9, 6461565]
[paragraph, [197.0, 179.0, 208.0, 18.0], 8FgcMha_H9, 6461565]
[section-title, [96.0, 198.0, 171.0, 30.0], 3V4DMEVDGk, 6461565]
[paragraph, [203.0, 240.0, 171.0, 18.0], rBuAfm0oL2, 6461565]
[paragraph, [203.0, 258.0, 171.0, 18.0], rBuAfm0oL2, 6461565]
[section-title, [95.0, 295.0, 378.0, 30.0], QhTiMYP5kp, 6461565]
[paragraph, [197.0, 334.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 352.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 370.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 388.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 406.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 424.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 442.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 460.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 478.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[paragraph, [197.0, 496.0, 201.0, 18.0], dsC7Cbqe1L, 6461565]
[contact-info, [397.0, 521.0, 151.0, 18.0], UxeeHHaUEF, 6461565]
[contact-info, [397.0, 539.0, 151.0, 18.0], UxeeHHaUEF, 6461565]
[contact-info, [397.0, 557.0, 151.0, 18.0], UxeeHHaUEF, 6461565]
