[1350, 900]
[folio, [507.0, 168.0, 194.0, 18.0], d2JgmcgJqr, 5760729]
[folio, [507.0, 186.0, 194.0, 18.0], d2JgmcgJqr, 5760729]
[paragraph, [165.0, 220.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 238.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 256.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 274.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 292.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 310.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 328.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 346.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 364.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 382.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 400.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 418.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 436.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 454.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 472.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 490.0, 555.0, 18.0], shoonya_0sSHMNRM2DZ5ZL, 5760729]
[paragraph, [165.0, 511.0, 558.0, 18.0], AeVWiFmkJH, 5760729]
[paragraph, [165.0, 529.0, 558.0, 18.0], AeVWiFmkJH, 5760729]
[paragraph, [165.0, 547.0, 558.0, 18.0], AeVWiFmkJH, 5760729]
[paragraph, [164.0, 578.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 596.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 614.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 632.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 650.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 668.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 686.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 704.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 722.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 740.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 758.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 776.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 794.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 812.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [164.0, 830.0, 557.0, 18.0], ykT72_nq9h, 5760729]
[paragraph, [162.0, 861.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 879.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 897.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 915.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 933.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 951.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 969.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 987.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1005.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1023.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1041.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1059.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1077.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1095.0, 563.0, 18.0], enPLqiHuKF, 5760729]
[paragraph, [162.0, 1113.0, 563.0, 18.0], enPLqiHuKF, 5760729]
