[1447, 1063]
[folio, [421.0, 45.0, 216.0, 18.0], SWYhTpUx-B, 5762835]
[folio, [421.0, 63.0, 216.0, 18.0], SWYhTpUx-B, 5762835]
[headline, [144.0, 92.0, 765.0, 25.5], shoonya_1sFOZCRZL3BZ66, 5762835]
[headline, [144.0, 117.5, 765.0, 25.5], shoonya_1sFOZCRZL3BZ66, 5762835]
[headline, [144.0, 143.0, 765.0, 25.5], shoonya_1sFOZCRZL3BZ66, 5762835]
[headline, [144.0, 168.5, 765.0, 25.5], shoonya_1sFOZCRZL3BZ66, 5762835]
[paragraph, [531.0, 198.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 216.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 234.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 252.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 270.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 288.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 306.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 324.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [531.0, 342.0, 437.0, 18.0], onvFMwOwJo, 5762835]
[paragraph, [91.0, 200.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [91.0, 218.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [91.0, 236.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [91.0, 254.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [91.0, 272.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [91.0, 290.0, 435.0, 18.0], jEWid2Nl_A, 5762835]
[paragraph, [89.0, 325.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 343.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 361.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 379.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 397.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 415.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 433.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [89.0, 451.0, 437.0, 18.0], SGu7LyYa17, 5762835]
[paragraph, [532.0, 379.0, 437.0, 18.0], gwaB2N67z4, 5762835]
[paragraph, [532.0, 397.0, 437.0, 18.0], gwaB2N67z4, 5762835]
[paragraph, [532.0, 415.0, 437.0, 18.0], gwaB2N67z4, 5762835]
[paragraph, [532.0, 433.0, 437.0, 18.0], gwaB2N67z4, 5762835]
[paragraph, [532.0, 451.0, 437.0, 18.0], gwaB2N67z4, 5762835]
[paragraph, [90.0, 996.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1014.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1032.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1050.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1068.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1086.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1104.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1122.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1140.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1158.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1176.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1194.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1212.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1230.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1248.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [90.0, 1266.0, 434.0, 18.0], i31BPiL4dV, 5762835]
[paragraph, [531.0, 1000.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1018.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1036.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1054.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1072.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1090.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1108.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1126.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1144.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1162.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1180.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1198.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1216.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [531.0, 1234.0, 439.0, 18.0], UzJwiBMYwL, 5762835]
[paragraph, [532.0, 1271.0, 441.0, 18.0], mNSHuUNJeO, 5762835]
[paragraph, [532.0, 1289.0, 441.0, 18.0], mNSHuUNJeO, 5762835]
[paragraph, [532.0, 1307.0, 441.0, 18.0], mNSHuUNJeO, 5762835]
[paragraph, [89.0, 1292.0, 435.0, 18.0], 10rfTZql9m, 5762835]
[paragraph, [89.0, 1310.0, 435.0, 18.0], 10rfTZql9m, 5762835]
[paragraph, [89.0, 1328.0, 435.0, 18.0], 10rfTZql9m, 5762835]
