[1565, 1152]
[flag, [210.0, 74.0, 355.0, 36.0], iPFrwcH1w3, 5722347]
[flag, [210.0, 110.0, 355.0, 36.0], iPFrwcH1w3, 5722347]
[paragraph, [165.0, 270.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 306.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 342.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 378.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 414.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 450.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 486.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 522.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 558.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 594.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [165.0, 630.0, 578.0, 36.0], wJqelxMm1I, 5722347]
[paragraph, [161.0, 675.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 711.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 747.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 783.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 819.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 855.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 891.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 927.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 963.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 999.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 1035.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 1071.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 1107.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[paragraph, [161.0, 1143.0, 689.0, 36.0], eDCm8CnW8g, 5722347]
[footnote, [838.0, 1196.0, 180.0, 36.0], CCA1BQk9vy, 5722347]
[unordered-list, [365.0, 1269.0, 423.0, 36.0], W_DB854CZ7, 5722347]
[unordered-list, [365.0, 1305.0, 423.0, 36.0], W_DB854CZ7, 5722347]
[unordered-list, [365.0, 1341.0, 423.0, 36.0], W_DB854CZ7, 5722347]
[unordered-list, [365.0, 1377.0, 423.0, 36.0], W_DB854CZ7, 5722347]
[unordered-list, [365.0, 1413.0, 423.0, 36.0], W_DB854CZ7, 5722347]
[unordered-list, [797.0, 1288.0, 328.0, 36.0], jMSoeF7Kf8, 5722347]
[unordered-list, [797.0, 1324.0, 328.0, 36.0], jMSoeF7Kf8, 5722347]
[unordered-list, [797.0, 1360.0, 328.0, 36.0], jMSoeF7Kf8, 5722347]
[unordered-list, [797.0, 1396.0, 328.0, 36.0], jMSoeF7Kf8, 5722347]
[contact-info, [105.0, 1304.0, 246.0, 36.0], 5l_hOKpNKb, 5722347]
[contact-info, [105.0, 1340.0, 246.0, 36.0], 5l_hOKpNKb, 5722347]
[contact-info, [105.0, 1376.0, 246.0, 36.0], 5l_hOKpNKb, 5722347]
