[2200, 1700]
[folio, [790.0, 391.0, 157.0, 36.0], shoonya_1sATP004XM0889, 5731845]
[paragraph, [464.0, 479.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 515.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 551.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 587.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 623.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 659.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 695.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 731.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 767.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 803.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 839.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 875.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 911.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 947.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 983.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1019.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1055.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1091.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1127.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1163.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1199.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1235.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1271.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1307.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1343.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1379.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1415.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1451.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1487.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1523.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1559.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1595.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1631.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1667.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[paragraph, [464.0, 1703.0, 793.0, 36.0], shoonya_0sB2E6VT4KY8KN, 5731845]
[footnote, [1297.0, 2010.0, 223.0, 36.0], fEg-KvkxDU, 5731845]
[footnote, [1297.0, 2046.0, 223.0, 36.0], fEg-KvkxDU, 5731845]
[footnote, [1297.0, 2082.0, 223.0, 36.0], fEg-KvkxDU, 5731845]
[folio, [808.0, 2102.0, 176.0, 36.0], ZLihuYmsAW, 5731845]
