[1200, 825]
[paragraph, [143.0, 111.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[paragraph, [143.0, 129.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[paragraph, [143.0, 147.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[paragraph, [143.0, 165.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[paragraph, [143.0, 183.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[paragraph, [143.0, 201.0, 540.0, 18.0], shoonya_1sMY2CIJUKO6YC, 5691071]
[section-title, [147.0, 264.0, 265.0, 30.0], shoonya_4sS2PWC7PX8IJL, 5691071]
[paragraph, [145.0, 312.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 330.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 348.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 366.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 384.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 402.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 420.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 438.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 456.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 474.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 492.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 510.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 528.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 546.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 564.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 582.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 600.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 618.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 636.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [145.0, 654.0, 537.0, 18.0], shoonya_2sU8QHQ2COQ8IS, 5691071]
[paragraph, [142.0, 684.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 702.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 720.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 738.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 756.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 774.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 792.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 810.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 828.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 846.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 864.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 882.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 900.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 918.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [142.0, 936.0, 538.0, 18.0], shoonya_0sF6ADMG2MYU71, 5691071]
[paragraph, [138.0, 957.0, 552.0, 18.0], 97bmYFuTVd, 5691071]
[paragraph, [138.0, 975.0, 552.0, 18.0], 97bmYFuTVd, 5691071]
[paragraph, [138.0, 993.0, 552.0, 18.0], 97bmYFuTVd, 5691071]
[paragraph, [138.0, 1011.0, 552.0, 18.0], 97bmYFuTVd, 5691071]
[paragraph, [138.0, 1029.0, 552.0, 18.0], 97bmYFuTVd, 5691071]
