[635, 412]
[paragraph, [55.0, 70.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 88.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 106.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 124.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 142.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 160.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 178.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 196.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 214.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 232.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 250.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 268.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 286.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 304.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [55.0, 322.0, 299.0, 18.0], shoonya_1sILYLBXKF7JBY, 5721770]
[paragraph, [53.0, 341.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 359.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 377.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 395.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 413.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 431.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 449.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 467.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 485.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 503.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 521.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
[paragraph, [53.0, 539.0, 302.0, 18.0], shoonya_0sN387HSSGIM3Y, 5721770]
