[792, 612]
[folio, [175.0, 45.0, 54.0, 18.0], 7eww7xRFsA, 6515842]
[paragraph, [176.0, 82.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [176.0, 100.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [176.0, 118.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [176.0, 136.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [176.0, 154.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [176.0, 172.0, 300.0, 18.0], shoonya_0sOGKQLB84S2TD, 6515842]
[paragraph, [165.0, 202.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 220.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 238.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 256.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 274.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 292.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 310.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 328.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 346.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 364.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 382.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 400.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 418.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 436.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 454.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 472.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 490.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 508.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
[paragraph, [165.0, 526.0, 310.0, 18.0], bkiRQL7T5d, 6515842]
