[3509, 2480]
[paragraph, [297.0, 387.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 439.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 492.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 544.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 597.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 649.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 702.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 754.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 807.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 859.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 912.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 964.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1017.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1069.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1122.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1174.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1227.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1279.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1332.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1384.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1437.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1489.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1542.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1594.5, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [297.0, 1647.0, 1879.0, 52.5], shoonya_0sFHXB7QMHNIME, 5724381]
[paragraph, [300.0, 1754.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 1806.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 1859.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 1911.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 1964.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2016.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2069.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2121.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2174.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2226.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2279.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2331.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2384.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2436.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2489.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2541.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2594.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2646.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2699.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2751.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2804.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2856.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2909.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 2961.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 3014.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 3066.5, 1863.0, 52.5], ybKU2-2U93, 5724381]
[paragraph, [300.0, 3119.0, 1863.0, 52.5], ybKU2-2U93, 5724381]
