[792, 612]
[headline, [85.0, 70.0, 199.0, 25.5], shoonya_9sCWTQHOKQ5SFX, 5653991]
[headline, [85.0, 95.5, 199.0, 25.5], shoonya_9sCWTQHOKQ5SFX, 5653991]
[contact-info, [297.0, 86.0, 216.0, 18.0], x-XqxPg5L3, 5653991]
[paragraph, [322.0, 144.0, 223.0, 18.0], shoonya_6s09L2ZBT9Z558, 5653991]
[paragraph, [322.0, 162.0, 223.0, 18.0], shoonya_6s09L2ZBT9Z558, 5653991]
[paragraph, [322.0, 180.0, 223.0, 18.0], shoonya_6s09L2ZBT9Z558, 5653991]
[paragraph, [83.0, 145.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [83.0, 163.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [83.0, 181.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [83.0, 199.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [83.0, 217.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [83.0, 235.0, 224.0, 18.0], shoonya_1s1XN0H1O36NK8, 5653991]
[paragraph, [324.0, 201.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 219.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 237.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 255.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 273.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 291.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [324.0, 309.0, 221.0, 18.0], shoonya_8sL82Y080V5ASE, 5653991]
[paragraph, [84.0, 263.0, 223.0, 18.0], shoonya_10sMBK9ED1UKDI, 5653991]
[paragraph, [84.0, 281.0, 223.0, 18.0], shoonya_10sMBK9ED1UKDI, 5653991]
