[3300, 2550]
[paragraph, [290.0, 290.0, 1982.0, 52.5], PjuX2rOvvC, 5720840]
[paragraph, [290.0, 342.5, 1982.0, 52.5], PjuX2rOvvC, 5720840]
[paragraph, [290.0, 395.0, 1982.0, 52.5], PjuX2rOvvC, 5720840]
[paragraph, [268.0, 519.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 571.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 624.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 676.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 729.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 781.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 834.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 886.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 939.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 991.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1044.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1096.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1149.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1201.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1254.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1306.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1359.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1411.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1464.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1516.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1569.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1621.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1674.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1726.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1779.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1831.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1884.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1936.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 1989.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2041.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2094.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2146.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2199.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2251.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2304.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2356.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2409.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2461.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2514.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2566.5, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [268.0, 2619.0, 2022.0, 52.5], shoonya_1sTYOU8H1836V5, 5720840]
[paragraph, [283.0, 2722.0, 972.0, 52.5], avAhY8hkwS, 5720840]
