[1763, 1275]
[folio, [235.0, 33.0, 253.0, 36.0], rYpcGXvmCh, 5712457]
[folio, [235.0, 69.0, 253.0, 36.0], rYpcGXvmCh, 5712457]
[headline, [241.0, 137.0, 836.0, 37.5], shoonya_6sS37VINHBUHG7, 5712457]
[headline, [241.0, 174.5, 836.0, 37.5], shoonya_6sS37VINHBUHG7, 5712457]
[paragraph, [243.0, 254.0, 953.0, 36.0], shoonya_3sV99DTQ28VTH7, 5712457]
[paragraph, [243.0, 290.0, 953.0, 36.0], shoonya_3sV99DTQ28VTH7, 5712457]
[paragraph, [243.0, 326.0, 953.0, 36.0], shoonya_3sV99DTQ28VTH7, 5712457]
[paragraph, [243.0, 362.0, 953.0, 36.0], shoonya_3sV99DTQ28VTH7, 5712457]
[paragraph, [243.0, 398.0, 953.0, 36.0], shoonya_3sV99DTQ28VTH7, 5712457]
[author, [246.0, 535.0, 227.0, 36.0], e6WErxE901, 5712457]
[headline, [245.0, 581.0, 442.0, 37.5], dMINkWWMpU, 5712457]
[paragraph, [240.0, 671.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 707.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 743.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 779.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 815.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 851.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [240.0, 887.0, 496.0, 36.0], shoonya_5sIVFTDAML1KT8, 5712457]
[paragraph, [742.0, 676.0, 506.0, 36.0], shoonya_1sZI7L116WQ82B, 5712457]
[paragraph, [742.0, 712.0, 506.0, 36.0], shoonya_1sZI7L116WQ82B, 5712457]
[paragraph, [742.0, 748.0, 506.0, 36.0], shoonya_1sZI7L116WQ82B, 5712457]
[paragraph, [742.0, 784.0, 506.0, 36.0], shoonya_1sZI7L116WQ82B, 5712457]
[paragraph, [738.0, 824.0, 510.0, 36.0], P9-OwpWcFW, 5712457]
