[690, 512]
[folio, [194.0, 38.0, 110.0, 18.0], 9I_A8Te_tD, 6491310]
[paragraph, [26.0, 63.0, 221.0, 18.0], shoonya_0s6ZD25W6XL72C, 6491310]
[paragraph, [26.0, 81.0, 221.0, 18.0], shoonya_0s6ZD25W6XL72C, 6491310]
[paragraph, [26.0, 99.0, 221.0, 18.0], shoonya_0s6ZD25W6XL72C, 6491310]
[paragraph, [254.0, 65.0, 221.0, 18.0], Miz26mAdkF, 6491310]
[paragraph, [254.0, 83.0, 221.0, 18.0], Miz26mAdkF, 6491310]
[paragraph, [254.0, 101.0, 221.0, 18.0], Miz26mAdkF, 6491310]
[paragraph, [254.0, 119.0, 221.0, 18.0], Miz26mAdkF, 6491310]
[paragraph, [25.0, 131.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 149.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 167.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 185.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 203.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 221.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 239.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 257.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 275.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [25.0, 293.0, 220.0, 18.0], O1aX3oZhiL, 6491310]
[paragraph, [252.0, 149.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 167.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 185.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 203.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 221.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 239.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 257.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 275.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 293.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 311.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 329.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 347.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 365.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 383.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [252.0, 401.0, 222.0, 18.0], cyJOYleMp1, 6491310]
[paragraph, [24.0, 317.0, 223.0, 18.0], CTUzM0Gte9, 6491310]
[paragraph, [24.0, 335.0, 223.0, 18.0], CTUzM0Gte9, 6491310]
[paragraph, [24.0, 353.0, 223.0, 18.0], CTUzM0Gte9, 6491310]
[paragraph, [24.0, 371.0, 223.0, 18.0], CTUzM0Gte9, 6491310]
[paragraph, [24.0, 389.0, 223.0, 18.0], CTUzM0Gte9, 6491310]
[paragraph, [23.0, 418.0, 222.0, 18.0], vg1PogNrvh, 6491310]
