[5500, 3644]
[folio, [2908.0, 423.0, 238.0, 52.5], 7_M5_qPzwC, 5709862]
[folio, [2908.0, 475.5, 238.0, 52.5], 7_M5_qPzwC, 5709862]
[folio, [2908.0, 528.0, 238.0, 52.5], 7_M5_qPzwC, 5709862]
[paragraph, [500.0, 611.0, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 663.5, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 716.0, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 768.5, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 821.0, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 873.5, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [500.0, 926.0, 2651.0, 52.5], tlR3xbWRCN, 5709862]
[paragraph, [509.0, 1002.0, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1054.5, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1107.0, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1159.5, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1212.0, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1264.5, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1317.0, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1369.5, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1422.0, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [509.0, 1474.5, 2641.0, 52.5], shoonya_0sSAEGO3X6AVZH, 5709862]
[paragraph, [519.0, 1535.0, 2633.0, 52.5], cSg3LiQPE4, 5709862]
[paragraph, [519.0, 1587.5, 2633.0, 52.5], cSg3LiQPE4, 5709862]
[paragraph, [519.0, 1640.0, 2633.0, 52.5], cSg3LiQPE4, 5709862]
[paragraph, [519.0, 1692.5, 2633.0, 52.5], cSg3LiQPE4, 5709862]
[paragraph, [542.0, 1793.0, 2614.0, 52.5], p2ajyJFx7L, 5709862]
[paragraph, [542.0, 1845.5, 2614.0, 52.5], p2ajyJFx7L, 5709862]
[paragraph, [542.0, 1898.0, 2614.0, 52.5], p2ajyJFx7L, 5709862]
[paragraph, [542.0, 1950.5, 2614.0, 52.5], p2ajyJFx7L, 5709862]
[paragraph, [542.0, 2003.0, 2614.0, 52.5], p2ajyJFx7L, 5709862]
[paragraph, [546.0, 2060.0, 2614.0, 52.5], sTvjRDEpsD, 5709862]
[paragraph, [546.0, 2112.5, 2614.0, 52.5], sTvjRDEpsD, 5709862]
[paragraph, [546.0, 2165.0, 2614.0, 52.5], sTvjRDEpsD, 5709862]
[paragraph, [546.0, 2217.5, 2614.0, 52.5], sTvjRDEpsD, 5709862]
[paragraph, [546.0, 2317.0, 2614.0, 52.5], c5VYHX0639, 5709862]
[paragraph, [546.0, 2369.5, 2614.0, 52.5], c5VYHX0639, 5709862]
[paragraph, [546.0, 2422.0, 2614.0, 52.5], c5VYHX0639, 5709862]
[paragraph, [546.0, 2474.5, 2614.0, 52.5], c5VYHX0639, 5709862]
[paragraph, [551.0, 2584.0, 2614.0, 52.5], IjLZzNuyBt, 5709862]
[paragraph, [551.0, 2636.5, 2614.0, 52.5], IjLZzNuyBt, 5709862]
[paragraph, [551.0, 2689.0, 2614.0, 52.5], IjLZzNuyBt, 5709862]
[paragraph, [551.0, 2741.5, 2614.0, 52.5], IjLZzNuyBt, 5709862]
[paragraph, [546.0, 2837.0, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 2889.5, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 2942.0, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 2994.5, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 3047.0, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 3099.5, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [546.0, 3152.0, 2614.0, 52.5], gxjm0OaLjN, 5709862]
[paragraph, [542.0, 3223.0, 2614.0, 52.5], NCWd548cvU, 5709862]
[paragraph, [542.0, 3275.5, 2614.0, 52.5], NCWd548cvU, 5709862]
[paragraph, [542.0, 3328.0, 2614.0, 52.5], NCWd548cvU, 5709862]
[paragraph, [542.0, 3380.5, 2614.0, 52.5], NCWd548cvU, 5709862]
[paragraph, [542.0, 3433.0, 2614.0, 52.5], NCWd548cvU, 5709862]
[paragraph, [546.0, 3499.0, 2614.0, 52.5], UqbItFpKdB, 5709862]
[paragraph, [546.0, 3551.5, 2614.0, 52.5], UqbItFpKdB, 5709862]
[paragraph, [546.0, 3604.0, 2614.0, 52.5], UqbItFpKdB, 5709862]
[paragraph, [546.0, 3656.5, 2614.0, 52.5], UqbItFpKdB, 5709862]
[paragraph, [546.0, 3757.0, 2614.0, 52.5], PUFkPY4yqM, 5709862]
[paragraph, [546.0, 3809.5, 2614.0, 52.5], PUFkPY4yqM, 5709862]
[paragraph, [546.0, 3862.0, 2614.0, 52.5], PUFkPY4yqM, 5709862]
[paragraph, [546.0, 3914.5, 2614.0, 52.5], PUFkPY4yqM, 5709862]
[paragraph, [725.0, 4003.0, 1906.0, 52.5], shoonya_1sZ7O3G9IVVVWW, 5709862]
[paragraph, [725.0, 4055.5, 1906.0, 52.5], shoonya_1sZ7O3G9IVVVWW, 5709862]
[paragraph, [725.0, 4108.0, 1906.0, 52.5], shoonya_1sZ7O3G9IVVVWW, 5709862]
[paragraph, [725.0, 4160.5, 1906.0, 52.5], shoonya_1sZ7O3G9IVVVWW, 5709862]
[paragraph, [523.0, 4262.0, 2614.0, 52.5], dQK-z17MYq, 5709862]
[paragraph, [523.0, 4314.5, 2614.0, 52.5], dQK-z17MYq, 5709862]
[paragraph, [523.0, 4367.0, 2614.0, 52.5], dQK-z17MYq, 5709862]
[paragraph, [523.0, 4419.5, 2614.0, 52.5], dQK-z17MYq, 5709862]
[paragraph, [523.0, 4472.0, 2614.0, 52.5], dQK-z17MYq, 5709862]
[paragraph, [519.0, 4543.0, 2614.0, 52.5], XW1CZ-IvEU, 5709862]
[paragraph, [519.0, 4595.5, 2614.0, 52.5], XW1CZ-IvEU, 5709862]
[paragraph, [519.0, 4648.0, 2614.0, 52.5], XW1CZ-IvEU, 5709862]
[paragraph, [519.0, 4700.5, 2614.0, 52.5], XW1CZ-IvEU, 5709862]
[paragraph, [519.0, 4753.0, 2614.0, 52.5], XW1CZ-IvEU, 5709862]
