[792, 612]
[headline, [180.0, 112.0, 240.0, 25.5], shoonya_11sFCVKQHCPCDI, 6514844]
[paragraph, [60.0, 181.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [60.0, 199.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [60.0, 217.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [60.0, 235.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [60.0, 253.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [60.0, 271.0, 162.0, 18.0], shoonya_5sD9H01VYWQ8SI, 6514844]
[paragraph, [390.0, 182.0, 161.0, 18.0], r8pNZ_vTS3, 6514844]
[paragraph, [390.0, 200.0, 161.0, 18.0], r8pNZ_vTS3, 6514844]
[paragraph, [225.0, 183.0, 162.0, 18.0], shoonya_9sQO8BKOUHLLBH, 6514844]
[paragraph, [225.0, 201.0, 162.0, 18.0], shoonya_9sQO8BKOUHLLBH, 6514844]
[paragraph, [225.0, 219.0, 162.0, 18.0], shoonya_9sQO8BKOUHLLBH, 6514844]
[paragraph, [390.0, 226.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 244.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 262.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 280.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 298.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 316.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 334.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 352.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 370.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [390.0, 388.0, 160.0, 18.0], YPxtrPhYDj, 6514844]
[paragraph, [225.0, 240.0, 161.0, 18.0], shoonya_13sKX8WR9CPUBU, 6514844]
