[1686, 819]
[section-title, [58.0, 64.0, 163.0, 49.5], shoonya_4s9WZCNSGB6BB4, 6473726]
[unordered-list, [297.0, 646.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 682.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 718.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 754.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 790.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 826.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 862.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 898.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 934.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 970.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1006.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1042.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1078.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1114.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1150.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1186.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1222.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1258.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1294.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1330.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1366.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[unordered-list, [297.0, 1402.0, 464.0, 36.0], jsM3qPUjGV, 6473726]
[figure-caption, [167.0, 1276.0, 56.0, 36.0], oJJfSIWyIl, 6473726]
[folio, [492.0, 1525.0, 262.0, 36.0], GJWpsfLckG, 6473726]
[folio, [492.0, 1561.0, 262.0, 36.0], GJWpsfLckG, 6473726]
