[1723, 1092]
[paragraph, [108.0, 101.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 137.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 173.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 209.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 245.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 281.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [108.0, 317.0, 883.0, 36.0], shoonya_3sNJQ14OL4JBUV, 5680340]
[paragraph, [107.0, 379.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 415.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 451.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 487.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 523.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 559.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 595.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 631.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 667.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [107.0, 703.0, 878.0, 36.0], shoonya_1sDZQUG8PS0PMG, 5680340]
[paragraph, [106.0, 775.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 811.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 847.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 883.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 919.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 955.0, 882.0, 36.0], shoonya_2s2CCR6HE2JE78, 5680340]
[paragraph, [106.0, 999.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1035.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1071.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1107.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1143.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1179.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1215.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1251.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1287.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1323.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1359.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1395.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1431.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1467.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1503.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[paragraph, [106.0, 1539.0, 881.0, 36.0], shoonya_0s96CCL7DQHDS9, 5680340]
[folio, [493.0, 1586.0, 134.0, 36.0], pdF5PHLsdq, 5680340]
