[1162, 749]
[folio, [308.0, 80.0, 133.0, 18.0], shoonya_5sNRIBNKL2UXZM, 5700150]
[paragraph, [78.0, 132.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 150.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 168.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 186.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 204.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 222.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [78.0, 240.0, 596.0, 18.0], shoonya_4sVEYJFWQMRW2M, 5700150]
[paragraph, [79.0, 278.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 296.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 314.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 332.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 350.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 368.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 386.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 404.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [79.0, 422.0, 598.0, 18.0], shoonya_1sJGJZ3ZTC8C7M, 5700150]
[paragraph, [80.0, 462.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 480.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 498.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 516.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 534.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 552.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 570.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 588.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 606.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 624.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [80.0, 642.0, 595.0, 18.0], shoonya_0s48TPOKVZVI3C, 5700150]
[paragraph, [78.0, 685.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 703.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 721.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 739.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 757.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 775.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 793.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 811.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 829.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 847.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [78.0, 865.0, 595.0, 18.0], shoonya_2sSYSVPXKHR80I, 5700150]
[paragraph, [79.0, 906.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 924.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 942.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 960.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 978.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 996.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 1014.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 1032.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 1050.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
[paragraph, [79.0, 1068.0, 596.0, 18.0], shoonya_3sYVO976OYXDGC, 5700150]
