[2339, 1654]
[folio, [126.0, 66.0, 221.0, 36.0], J4MQqyirEA, 5750415]
[paragraph, [139.0, 122.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 158.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 194.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 230.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 266.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 302.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 338.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 374.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 410.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 446.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 482.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 518.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 554.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 590.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 626.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 662.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 698.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 734.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 770.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 806.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 842.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 878.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 914.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 950.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 986.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 1022.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 1058.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [139.0, 1094.0, 1454.0, 36.0], shoonya_0sSNKWOEHT0O5T, 5750415]
[paragraph, [138.0, 1149.0, 1452.0, 36.0], shoonya_3sYNVVY0N8HU17, 5750415]
[paragraph, [138.0, 1185.0, 1452.0, 36.0], shoonya_3sYNVVY0N8HU17, 5750415]
