[1518, 1075]
[folio, [870.0, 79.0, 51.0, 36.0], shoonya_5sVZYGDJ33HUJ0, 5722890]
[paragraph, [90.0, 142.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 178.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 214.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 250.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 286.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 322.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 358.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 394.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 430.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 466.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 502.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 538.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [90.0, 574.0, 426.0, 36.0], shoonya_1sLX7DAWG22LR6, 5722890]
[paragraph, [529.0, 147.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 183.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 219.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 255.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 291.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 327.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 363.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 399.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 435.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 471.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 507.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 543.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 579.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 615.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 651.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 687.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 723.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 759.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 795.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 831.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
[paragraph, [529.0, 867.0, 438.0, 36.0], shoonya_3s7M3LD6SOQB2Q, 5722890]
