[1388, 886]
[folio, [31.0, 58.0, 167.0, 18.0], hwxNTkjtgX, 5742693]
[folio, [31.0, 76.0, 167.0, 18.0], hwxNTkjtgX, 5742693]
[folio, [415.0, 58.0, 53.0, 18.0], 3VK2KmNKtp, 5742693]
[paragraph, [24.0, 134.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 152.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 170.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 188.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 206.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 224.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 242.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 260.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 278.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 296.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 314.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 332.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 350.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 368.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 386.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 404.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 422.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 440.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 458.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 476.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 494.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 512.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 530.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 548.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 566.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 584.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 602.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 620.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 638.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 656.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 674.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 692.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 710.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 728.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 746.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 764.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
[paragraph, [24.0, 782.0, 413.0, 18.0], 3CsOgsmEjh, 5742693]
