[2352, 1679]
[paragraph, [314.0, 199.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 235.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 271.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 307.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 343.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 379.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 415.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 451.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 487.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 523.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [314.0, 559.0, 1185.0, 36.0], shoonya_2s1SFK3MKMGO70, 5733866]
[paragraph, [313.0, 651.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 687.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 723.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 759.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 795.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 831.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 867.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 903.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 939.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 975.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1011.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1047.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1083.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1119.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1155.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1191.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1227.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1263.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1299.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1335.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1371.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1407.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1443.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1479.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1515.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1551.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1587.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [313.0, 1623.0, 1185.0, 36.0], shoonya_0sWP66O68UFN4K, 5733866]
[paragraph, [304.0, 1696.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
[paragraph, [304.0, 1732.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
[paragraph, [304.0, 1768.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
[paragraph, [304.0, 1804.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
[paragraph, [304.0, 1840.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
[paragraph, [304.0, 1876.0, 1192.0, 36.0], shoonya_3sFHOSJ2V8BUV2, 5733866]
