[1518, 1075]
[folio, [450.0, 115.0, 76.0, 36.0], -_RcL33b0S, 5722383]
[paragraph, [90.0, 168.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 204.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 240.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 276.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 312.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 348.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 384.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 420.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 456.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 492.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 528.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 564.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 600.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 636.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 672.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 708.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 744.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 780.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 816.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 852.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 888.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 924.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 960.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 996.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1032.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1068.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1104.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1140.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1176.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1212.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1248.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [90.0, 1284.0, 427.0, 36.0], shoonya_2sHEMYTYVDMOB5, 5722383]
[paragraph, [534.0, 171.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 207.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 243.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 279.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 315.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 351.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 387.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 423.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
[paragraph, [534.0, 459.0, 427.0, 36.0], shoonya_1sUBTYLFHIUT73, 5722383]
