[1755, 1240]
[paragraph, [180.0, 188.0, 881.0, 36.0], shoonya_3sHHK97W421SHT, 5703972]
[paragraph, [180.0, 224.0, 881.0, 36.0], shoonya_3sHHK97W421SHT, 5703972]
[paragraph, [180.0, 260.0, 881.0, 36.0], shoonya_3sHHK97W421SHT, 5703972]
[paragraph, [180.0, 296.0, 881.0, 36.0], shoonya_3sHHK97W421SHT, 5703972]
[paragraph, [182.0, 367.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [182.0, 403.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [182.0, 439.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [182.0, 475.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [182.0, 511.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [182.0, 547.0, 879.0, 36.0], 9tNzy3C6Eb, 5703972]
[paragraph, [180.0, 610.0, 881.0, 36.0], shoonya_2s85AHA87C9LTJ, 5703972]
[paragraph, [180.0, 646.0, 881.0, 36.0], shoonya_2s85AHA87C9LTJ, 5703972]
[paragraph, [180.0, 682.0, 881.0, 36.0], shoonya_2s85AHA87C9LTJ, 5703972]
[paragraph, [180.0, 718.0, 881.0, 36.0], shoonya_2s85AHA87C9LTJ, 5703972]
[paragraph, [180.0, 794.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 830.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 866.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 902.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 938.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 974.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [180.0, 1010.0, 881.0, 36.0], shoonya_1sQ0JT8AM862FM, 5703972]
[paragraph, [179.0, 1091.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1127.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1163.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1199.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1235.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1271.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1307.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1343.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1379.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1415.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1451.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1487.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
[paragraph, [179.0, 1523.0, 879.0, 36.0], shoonya_0s9AWFSAS1SCAE, 5703972]
