[1492, 1000]
[folio, [403.0, 156.0, 205.0, 18.0], shoonya_2sBKZO80FVDU7X, 5720512]
[paragraph, [154.0, 207.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 225.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 243.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 261.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 279.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 297.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 315.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 333.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 351.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 369.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 387.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 405.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 423.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 441.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 459.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 477.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 495.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 513.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 531.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 549.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 567.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 585.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 603.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 621.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 639.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [154.0, 657.0, 723.0, 18.0], shoonya_0sZD45YOVHSRKN, 5720512]
[paragraph, [147.0, 688.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
[paragraph, [147.0, 706.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
[paragraph, [147.0, 724.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
[paragraph, [147.0, 742.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
[paragraph, [147.0, 760.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
[paragraph, [147.0, 778.0, 738.0, 18.0], e_ot3e1JDp, 5720512]
