[596, 393]
[chapter-title, [74.0, 46.0, 249.0, 30.0], shoonya_3sGRFAEN18SE2J, 6533700]
[paragraph, [41.0, 122.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 140.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 158.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 176.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 194.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 212.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 230.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 248.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 266.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 284.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 302.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 320.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 338.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 356.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 374.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [41.0, 392.0, 311.0, 18.0], shoonya_0sGRMCBYUOB7OP, 6533700]
[paragraph, [40.0, 421.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
[paragraph, [40.0, 439.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
[paragraph, [40.0, 457.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
[paragraph, [40.0, 475.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
[paragraph, [40.0, 493.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
[paragraph, [40.0, 511.0, 313.0, 18.0], shoonya_1sR8XVCLOQX0AB, 6533700]
