[792, 612]
[chapter-title, [184.0, 275.0, 140.0, 30.0], srDJuDaAQz, 5749326]
[section-title, [184.0, 338.0, 204.0, 30.0], GsEWM40XOt, 5749326]
[sidebar, [41.0, 388.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 406.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 424.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 442.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 460.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 478.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 496.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 514.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 532.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 550.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 568.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 586.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 604.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 622.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 640.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 658.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[sidebar, [41.0, 676.0, 144.0, 18.0], Il_z7xz_22, 5749326]
[paragraph, [188.0, 390.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 408.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 426.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 444.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 462.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 480.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 498.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 516.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 534.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 552.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 570.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 588.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 606.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 624.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[paragraph, [188.0, 642.0, 340.0, 18.0], shoonya_0s4E8RWWB7JDY6, 5749326]
[website-link, [239.0, 751.0, 140.0, 18.0], YJ8hNJwcn1, 5749326]
