[1951, 1219]
[folio, [239.0, 125.0, 198.0, 36.0], WjHEWX3Nrc, 5683355]
[paragraph, [118.0, 211.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 247.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 283.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 319.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 355.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 391.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 427.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 463.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 499.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 535.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 571.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 607.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 643.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [118.0, 679.0, 977.0, 36.0], BWdmO-ennJ, 5683355]
[paragraph, [121.0, 744.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 780.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 816.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 852.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 888.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 924.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 960.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 996.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [121.0, 1032.0, 972.0, 36.0], hGnZv4b9MV, 5683355]
[paragraph, [125.0, 1085.0, 965.0, 36.0], UdlbRUvegZ, 5683355]
[paragraph, [125.0, 1121.0, 965.0, 36.0], UdlbRUvegZ, 5683355]
[paragraph, [125.0, 1157.0, 965.0, 36.0], UdlbRUvegZ, 5683355]
[paragraph, [123.0, 1205.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [123.0, 1241.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [123.0, 1277.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [123.0, 1313.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [123.0, 1349.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [123.0, 1385.0, 968.0, 36.0], cvKqHhh0V-, 5683355]
[paragraph, [216.0, 1434.0, 818.0, 36.0], _N95D256tk, 5683355]
[paragraph, [115.0, 1491.0, 979.0, 36.0], -9O0ocXb3x, 5683355]
[paragraph, [115.0, 1527.0, 979.0, 36.0], -9O0ocXb3x, 5683355]
[paragraph, [115.0, 1563.0, 979.0, 36.0], -9O0ocXb3x, 5683355]
[paragraph, [115.0, 1607.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
[paragraph, [115.0, 1643.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
[paragraph, [115.0, 1679.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
[paragraph, [115.0, 1715.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
[paragraph, [115.0, 1751.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
[paragraph, [115.0, 1787.0, 981.0, 36.0], fXy5Fl00bG, 5683355]
