[2200, 1700]
[paragraph, [278.0, 220.0, 1139.0, 36.0], shoonya_2s95UGNJX0MXXB, 5686366]
[paragraph, [278.0, 314.0, 575.0, 36.0], aKsA_VHDvj, 5686366]
[reference, [860.0, 316.0, 210.0, 36.0], 78TmMNLt3g, 5686366]
[paragraph, [279.0, 403.0, 228.0, 36.0], shoonya_5s74WIX2AZ5ZLV, 5686366]
[paragraph, [467.0, 493.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 529.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 565.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 601.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 637.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 673.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[paragraph, [467.0, 709.0, 432.0, 36.0], shoonya_4sM567O11AYJAW, 5686366]
[section-title, [276.0, 778.0, 336.0, 52.5], shoonya_3s7XHNUZ75NHD4, 5686366]
[paragraph, [274.0, 881.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 917.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 953.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 989.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 1025.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 1061.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 1097.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 1133.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [274.0, 1169.0, 1140.0, 36.0], shoonya_0sTS9XI6YUPU5W, 5686366]
[paragraph, [276.0, 1239.0, 148.0, 36.0], Vg0fI7zjPr, 5686366]
[ordered-list, [380.0, 1339.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1375.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1411.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1447.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1483.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1519.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1555.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1591.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1627.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1663.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1699.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1735.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1771.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1807.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1843.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1879.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
[ordered-list, [380.0, 1915.0, 601.0, 36.0], IDeJmdRnfR, 5686366]
