[792, 524]
[folio, [169.0, 20.0, 117.0, 18.0], shoonya_6s1A6JF93NKCPM, 6513518]
[paragraph, [9.0, 61.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 79.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 97.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 115.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 133.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 151.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 169.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 187.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [9.0, 205.0, 439.0, 18.0], shoonya_0sJSUAHDI8F5ZF, 6513518]
[paragraph, [10.0, 239.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 257.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 275.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 293.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 311.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 329.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 347.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 365.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 383.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [10.0, 401.0, 443.0, 18.0], shoonya_1sG5ZM3OAKY3LS, 6513518]
[paragraph, [19.0, 424.0, 437.0, 18.0], shoonya_2sFLPTKF7E261I, 6513518]
[paragraph, [19.0, 442.0, 437.0, 18.0], shoonya_2sFLPTKF7E261I, 6513518]
[paragraph, [19.0, 460.0, 437.0, 18.0], shoonya_2sFLPTKF7E261I, 6513518]
[paragraph, [19.0, 478.0, 437.0, 18.0], shoonya_2sFLPTKF7E261I, 6513518]
[reference, [22.0, 498.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 516.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 534.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 552.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 570.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 588.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 606.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 624.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 642.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 660.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 678.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 696.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 714.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
[reference, [22.0, 732.0, 442.0, 18.0], shoonya_9sSHH7EJWZN5JB, 6513518]
