[612, 396]
[folio, [64.0, 34.0, 86.0, 18.0], -OxewnvhUV, 6514989]
[paragraph, [39.0, 60.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 78.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 96.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 114.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 132.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 150.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 168.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 186.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 204.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 222.0, 322.0, 18.0], shoonya_0sSZNOPLIJYL9R, 6514989]
[paragraph, [39.0, 267.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 285.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 303.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 321.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 339.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 357.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 375.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 393.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 411.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 429.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 447.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 465.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [39.0, 483.0, 318.0, 18.0], shoonya_1sGWWQKYDDXF52, 6514989]
[paragraph, [40.0, 521.0, 316.0, 18.0], shoonya_3sAH75398S17MF, 6514989]
[paragraph, [40.0, 539.0, 316.0, 18.0], shoonya_3sAH75398S17MF, 6514989]
