[842, 595]
[folio, [367.0, 129.0, 81.0, 18.0], HOfxTx1ltS, 6513793]
[folio, [245.0, 131.0, 92.0, 18.0], fucXabBEtr, 6513793]
[paragraph, [130.0, 163.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 181.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 199.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 217.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 235.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 253.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 271.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 289.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 307.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 325.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 343.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [130.0, 361.0, 322.0, 18.0], shoonya_1sVQJ1RVQ106BC, 6513793]
[paragraph, [131.0, 383.0, 323.0, 18.0], shoonya_2s4BYGUD7AGF4U, 6513793]
[paragraph, [131.0, 401.0, 323.0, 18.0], shoonya_2s4BYGUD7AGF4U, 6513793]
[paragraph, [131.0, 419.0, 323.0, 18.0], shoonya_2s4BYGUD7AGF4U, 6513793]
[paragraph, [131.0, 437.0, 323.0, 18.0], shoonya_2s4BYGUD7AGF4U, 6513793]
[paragraph, [131.0, 461.0, 323.0, 18.0], shoonya_3s7CF02MHFP0X9, 6513793]
[paragraph, [131.0, 479.0, 323.0, 18.0], shoonya_3s7CF02MHFP0X9, 6513793]
[paragraph, [131.0, 497.0, 323.0, 18.0], shoonya_3s7CF02MHFP0X9, 6513793]
[paragraph, [131.0, 515.0, 323.0, 18.0], shoonya_3s7CF02MHFP0X9, 6513793]
[paragraph, [131.0, 533.0, 323.0, 18.0], shoonya_3s7CF02MHFP0X9, 6513793]
[paragraph, [131.0, 554.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
[paragraph, [131.0, 572.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
[paragraph, [131.0, 590.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
[paragraph, [131.0, 608.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
[paragraph, [131.0, 626.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
[paragraph, [131.0, 644.0, 323.0, 18.0], shoonya_0sVCY3GMQC236D, 6513793]
