[2334, 1650]
[paragraph, [209.0, 165.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 201.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 237.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 273.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 309.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 345.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 381.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 417.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 453.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 489.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [209.0, 525.0, 1156.0, 36.0], shoonya_1s0IKE5POAMKSO, 5652968]
[paragraph, [212.0, 569.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 605.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 641.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 677.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 713.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 749.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 785.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 821.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 857.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 893.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 929.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 965.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1001.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1037.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1073.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1109.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1145.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1181.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [212.0, 1217.0, 1152.0, 36.0], shoonya_2sNEIBUSMX9EPO, 5652968]
[paragraph, [218.0, 1255.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1291.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1327.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1363.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1399.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1435.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1471.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1507.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1543.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1579.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1615.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1651.0, 1150.0, 36.0], shoonya_0sS1UTVO5Y0PLM, 5652968]
[paragraph, [218.0, 1707.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1743.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1779.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1815.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1851.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1887.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1923.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1959.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[paragraph, [218.0, 1995.0, 1154.0, 36.0], shoonya_3sUDIT5VZUHLIB, 5652968]
[folio, [917.0, 2092.0, 389.0, 36.0], UurREuiapb, 5652968]
