[1050, 693]
[folio, [520.0, 71.0, 95.0, 18.0], BNTNKocvSw, 5702366]
[folio, [520.0, 89.0, 95.0, 18.0], BNTNKocvSw, 5702366]
[paragraph, [83.0, 127.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 145.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 163.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 181.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 199.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 217.0, 529.0, 18.0], 08iG6Oy7GG, 5702366]
[paragraph, [83.0, 254.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 272.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 290.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 308.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 326.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 344.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 362.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 380.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 398.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 416.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 434.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 452.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 470.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 488.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 506.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 524.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [83.0, 542.0, 530.0, 18.0], shoonya_0s8MJUN4HULUKX, 5702366]
[paragraph, [84.0, 570.0, 529.0, 18.0], pbUKeuyXSb, 5702366]
[paragraph, [84.0, 588.0, 529.0, 18.0], pbUKeuyXSb, 5702366]
[paragraph, [84.0, 606.0, 529.0, 18.0], pbUKeuyXSb, 5702366]
[paragraph, [84.0, 642.0, 525.0, 18.0], T4abm10O_L, 5702366]
[paragraph, [84.0, 660.0, 525.0, 18.0], T4abm10O_L, 5702366]
[paragraph, [84.0, 678.0, 525.0, 18.0], T4abm10O_L, 5702366]
[paragraph, [130.0, 706.0, 363.0, 18.0], u6wTz1iXoD, 5702366]
[paragraph, [130.0, 724.0, 363.0, 18.0], u6wTz1iXoD, 5702366]
[paragraph, [83.0, 750.0, 531.0, 18.0], qWOB6Huuap, 5702366]
[paragraph, [83.0, 768.0, 531.0, 18.0], qWOB6Huuap, 5702366]
[paragraph, [83.0, 786.0, 531.0, 18.0], qWOB6Huuap, 5702366]
[paragraph, [83.0, 804.0, 531.0, 18.0], qWOB6Huuap, 5702366]
[paragraph, [135.0, 823.0, 326.0, 18.0], shoonya_1sJCNGXS8JFX0S, 5702366]
[paragraph, [135.0, 841.0, 326.0, 18.0], shoonya_1sJCNGXS8JFX0S, 5702366]
[paragraph, [89.0, 867.0, 528.0, 18.0], shoonya_2s1AU3V5UICA7J, 5702366]
[paragraph, [89.0, 885.0, 528.0, 18.0], shoonya_2s1AU3V5UICA7J, 5702366]
[paragraph, [89.0, 903.0, 528.0, 18.0], shoonya_2s1AU3V5UICA7J, 5702366]
[paragraph, [136.0, 940.0, 479.0, 18.0], shoonya_4sCO20CBE6Y51D, 5702366]
[paragraph, [136.0, 958.0, 479.0, 18.0], shoonya_4sCO20CBE6Y51D, 5702366]
