[3060, 3960]
[section-title, [208.0, 551.0, 1132.0, 93.0], shoonya_0sECGW7URXF6NO, 5695979]
[unordered-list, [42.0, 959.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1011.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1064.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1116.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1169.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1221.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1274.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1326.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1379.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1431.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1484.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1536.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1589.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1641.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1694.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1746.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1799.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1851.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1904.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 1956.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 2009.0, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[unordered-list, [42.0, 2061.5, 1879.0, 52.5], flMNkfq0Mi, 5695979]
[folio, [1250.0, 2486.0, 1453.0, 52.5], 6z0XT2LD_R, 5695979]
[folio, [1250.0, 2538.5, 1453.0, 52.5], 6z0XT2LD_R, 5695979]
