[2806, 1984]
[paragraph, [258.0, 193.0, 697.0, 46.5], pbDF0AGbxs, 5694650]
[paragraph, [258.0, 239.5, 697.0, 46.5], pbDF0AGbxs, 5694650]
[paragraph, [258.0, 286.0, 697.0, 46.5], pbDF0AGbxs, 5694650]
[paragraph, [988.0, 206.0, 690.0, 46.5], shoonya_14s8AO5AWD2DUT, 5694650]
[paragraph, [988.0, 252.5, 690.0, 46.5], shoonya_14s8AO5AWD2DUT, 5694650]
[paragraph, [278.0, 345.0, 672.0, 46.5], 1YHFa-jxPW, 5694650]
[paragraph, [270.0, 427.0, 670.0, 46.5], BEPHgUyfQc, 5694650]
[paragraph, [991.0, 478.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 524.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 571.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 617.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 664.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 710.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 757.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 803.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 850.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 896.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 943.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 989.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 1036.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 1082.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 1129.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 1175.5, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [991.0, 1222.0, 683.0, 46.5], shoonya_0sNT5XNZ4WCI0Y, 5694650]
[paragraph, [266.0, 516.0, 681.0, 46.5], shoonya_26sPXR33GBYUYN, 5694650]
[paragraph, [264.0, 607.0, 687.0, 46.5], shoonya_23sSU52E2CUJB3, 5694650]
[paragraph, [264.0, 653.5, 687.0, 46.5], shoonya_23sSU52E2CUJB3, 5694650]
[paragraph, [264.0, 700.0, 687.0, 46.5], shoonya_23sSU52E2CUJB3, 5694650]
[paragraph, [269.0, 832.0, 679.0, 46.5], shoonya_10sY9IG3KRFOQF, 5694650]
[paragraph, [269.0, 878.5, 679.0, 46.5], shoonya_10sY9IG3KRFOQF, 5694650]
[paragraph, [264.0, 962.0, 686.0, 46.5], shoonya_13s9KASEX46LSS, 5694650]
[paragraph, [264.0, 1008.5, 686.0, 46.5], shoonya_13s9KASEX46LSS, 5694650]
[paragraph, [264.0, 1055.0, 686.0, 46.5], shoonya_13s9KASEX46LSS, 5694650]
[paragraph, [263.0, 1140.0, 687.0, 46.5], shoonya_20s7JKIBZEHGWY, 5694650]
[paragraph, [263.0, 1186.5, 687.0, 46.5], shoonya_20s7JKIBZEHGWY, 5694650]
[paragraph, [263.0, 1233.0, 687.0, 46.5], shoonya_20s7JKIBZEHGWY, 5694650]
[paragraph, [263.0, 1279.5, 687.0, 46.5], shoonya_20s7JKIBZEHGWY, 5694650]
[paragraph, [1041.0, 1272.0, 462.0, 46.5], shoonya_15s63R4IZ643HS, 5694650]
[paragraph, [994.0, 1320.0, 673.0, 46.5], shoonya_11sVAORRLUX387, 5694650]
[paragraph, [994.0, 1366.5, 673.0, 46.5], shoonya_11sVAORRLUX387, 5694650]
[paragraph, [267.0, 1364.0, 686.0, 46.5], shoonya_24sA1L7IHTOZI7, 5694650]
[paragraph, [267.0, 1410.5, 686.0, 46.5], shoonya_24sA1L7IHTOZI7, 5694650]
[paragraph, [991.0, 1447.0, 680.0, 46.5], shoonya_2sVK4ES8SAOBSN, 5694650]
[paragraph, [991.0, 1493.5, 680.0, 46.5], shoonya_2sVK4ES8SAOBSN, 5694650]
[paragraph, [991.0, 1540.0, 680.0, 46.5], shoonya_2sVK4ES8SAOBSN, 5694650]
[paragraph, [991.0, 1586.5, 680.0, 46.5], shoonya_2sVK4ES8SAOBSN, 5694650]
[paragraph, [267.0, 1579.0, 682.0, 46.5], shoonya_8s61Z81ODHNSFA, 5694650]
[paragraph, [267.0, 1625.5, 682.0, 46.5], shoonya_8s61Z81ODHNSFA, 5694650]
[paragraph, [267.0, 1672.0, 682.0, 46.5], shoonya_8s61Z81ODHNSFA, 5694650]
[paragraph, [267.0, 1718.5, 682.0, 46.5], shoonya_8s61Z81ODHNSFA, 5694650]
[paragraph, [992.0, 1718.0, 682.0, 46.5], shoonya_7sRA2MWCWUHSON, 5694650]
[paragraph, [992.0, 1764.5, 682.0, 46.5], shoonya_7sRA2MWCWUHSON, 5694650]
[paragraph, [266.0, 1808.0, 682.0, 46.5], shoonya_9sJTIVA4LUA9O2, 5694650]
[paragraph, [266.0, 1854.5, 682.0, 46.5], shoonya_9sJTIVA4LUA9O2, 5694650]
[paragraph, [266.0, 1901.0, 682.0, 46.5], shoonya_9sJTIVA4LUA9O2, 5694650]
[paragraph, [266.0, 1947.5, 682.0, 46.5], shoonya_9sJTIVA4LUA9O2, 5694650]
[paragraph, [990.0, 1849.0, 681.0, 46.5], shoonya_1sJXEO9QSQO2A2, 5694650]
[paragraph, [990.0, 1895.5, 681.0, 46.5], shoonya_1sJXEO9QSQO2A2, 5694650]
[paragraph, [990.0, 1942.0, 681.0, 46.5], shoonya_1sJXEO9QSQO2A2, 5694650]
[paragraph, [990.0, 1988.5, 681.0, 46.5], shoonya_1sJXEO9QSQO2A2, 5694650]
[paragraph, [269.0, 2025.0, 680.0, 46.5], shoonya_12s6S38YW3JBL1, 5694650]
[paragraph, [994.0, 2072.0, 678.0, 46.5], shoonya_4sG50SZUXVNFXD, 5694650]
[paragraph, [994.0, 2118.5, 678.0, 46.5], shoonya_4sG50SZUXVNFXD, 5694650]
[paragraph, [994.0, 2165.0, 678.0, 46.5], shoonya_4sG50SZUXVNFXD, 5694650]
[paragraph, [994.0, 2211.5, 678.0, 46.5], shoonya_4sG50SZUXVNFXD, 5694650]
[paragraph, [994.0, 2258.0, 678.0, 46.5], shoonya_4sG50SZUXVNFXD, 5694650]
[paragraph, [268.0, 2115.0, 678.0, 46.5], shoonya_5sOUHG0OVE8KV1, 5694650]
[paragraph, [268.0, 2161.5, 678.0, 46.5], shoonya_5sOUHG0OVE8KV1, 5694650]
[paragraph, [268.0, 2208.0, 678.0, 46.5], shoonya_5sOUHG0OVE8KV1, 5694650]
[paragraph, [268.0, 2254.5, 678.0, 46.5], shoonya_5sOUHG0OVE8KV1, 5694650]
[paragraph, [269.0, 2336.0, 678.0, 46.5], shoonya_6sHZYRJXNZBJU6, 5694650]
[paragraph, [269.0, 2382.5, 678.0, 46.5], shoonya_6sHZYRJXNZBJU6, 5694650]
[paragraph, [269.0, 2429.0, 678.0, 46.5], shoonya_6sHZYRJXNZBJU6, 5694650]
[paragraph, [269.0, 2475.5, 678.0, 46.5], shoonya_6sHZYRJXNZBJU6, 5694650]
[paragraph, [993.0, 2340.0, 677.0, 46.5], shoonya_3sC9ZD0SUPKD6S, 5694650]
[paragraph, [993.0, 2386.5, 677.0, 46.5], shoonya_3sC9ZD0SUPKD6S, 5694650]
[paragraph, [993.0, 2433.0, 677.0, 46.5], shoonya_3sC9ZD0SUPKD6S, 5694650]
[paragraph, [993.0, 2479.5, 677.0, 46.5], shoonya_3sC9ZD0SUPKD6S, 5694650]
[folio, [369.0, 2622.0, 198.0, 46.5], 1QULOyseO6, 5694650]
