[1518, 1075]
[paragraph, [543.0, 134.0, 453.0, 36.0], kWatnw8G0o, 5722051]
[sub-section-title, [387.0, 166.0, 154.0, 36.0], gaFmIbg-9E, 5722051]
[paragraph, [553.0, 201.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 237.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 273.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 309.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 345.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 381.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 417.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 453.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 489.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 525.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [553.0, 561.0, 449.0, 36.0], shoonya_1sQV8PTIBTYCWZ, 5722051]
[paragraph, [103.0, 204.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[paragraph, [103.0, 240.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[paragraph, [103.0, 276.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[paragraph, [103.0, 312.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[paragraph, [103.0, 348.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[paragraph, [103.0, 384.0, 448.0, 36.0], shoonya_10sRKIAIHYJ20T, 5722051]
[ordered-list, [117.0, 418.0, 424.0, 36.0], shoonya_6s1IDUXXSIKZRE, 5722051]
[ordered-list, [117.0, 454.0, 424.0, 36.0], shoonya_6s1IDUXXSIKZRE, 5722051]
[ordered-list, [117.0, 490.0, 424.0, 36.0], shoonya_6s1IDUXXSIKZRE, 5722051]
[ordered-list, [117.0, 526.0, 424.0, 36.0], shoonya_6s1IDUXXSIKZRE, 5722051]
[paragraph, [103.0, 580.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 616.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 652.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 688.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 724.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 760.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 796.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 832.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [103.0, 868.0, 442.0, 36.0], shoonya_9sRU6WFFTNMBEV, 5722051]
[paragraph, [551.0, 597.0, 455.0, 36.0], shoonya_2sDFROML33XA34, 5722051]
[paragraph, [551.0, 633.0, 455.0, 36.0], shoonya_2sDFROML33XA34, 5722051]
[paragraph, [551.0, 669.0, 455.0, 36.0], shoonya_2sDFROML33XA34, 5722051]
[paragraph, [551.0, 705.0, 455.0, 36.0], shoonya_2sDFROML33XA34, 5722051]
[ordered-list, [581.0, 766.0, 421.0, 36.0], shoonya_4s3WUKLM31GCRK, 5722051]
[ordered-list, [581.0, 802.0, 421.0, 36.0], shoonya_4s3WUKLM31GCRK, 5722051]
[ordered-list, [581.0, 838.0, 421.0, 36.0], shoonya_4s3WUKLM31GCRK, 5722051]
[ordered-list, [581.0, 874.0, 421.0, 36.0], shoonya_4s3WUKLM31GCRK, 5722051]
[ordered-list, [581.0, 910.0, 421.0, 36.0], shoonya_4s3WUKLM31GCRK, 5722051]
[paragraph, [106.0, 906.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 942.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 978.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1014.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1050.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1086.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1122.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1158.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1194.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1230.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1266.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [106.0, 1302.0, 439.0, 36.0], shoonya_0sV8IE72RX2T3P, 5722051]
[paragraph, [547.0, 951.0, 454.0, 36.0], shoonya_8sJZ72A75UC2HY, 5722051]
[paragraph, [547.0, 987.0, 454.0, 36.0], shoonya_8sJZ72A75UC2HY, 5722051]
[paragraph, [547.0, 1023.0, 454.0, 36.0], shoonya_8sJZ72A75UC2HY, 5722051]
[paragraph, [547.0, 1059.0, 454.0, 36.0], shoonya_8sJZ72A75UC2HY, 5722051]
[paragraph, [542.0, 1121.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[paragraph, [542.0, 1157.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[paragraph, [542.0, 1193.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[paragraph, [542.0, 1229.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[paragraph, [542.0, 1265.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[paragraph, [542.0, 1301.0, 462.0, 36.0], YNDBY4ytqw, 5722051]
[folio, [194.0, 1387.0, 313.0, 36.0], DmnlF2yaRK, 5722051]
