[2000, 1414]
[section-title, [323.0, 125.0, 364.0, 52.5], shoonya_3sLRZKAVORMMD4, 6491629]
[contact-info, [844.0, 128.0, 323.0, 36.0], R4zj_fTXGK, 6491629]
[headline, [456.0, 369.0, 513.0, 67.5], shoonya_1sK0OFL741CJ71, 6491629]
[headline, [456.0, 436.5, 513.0, 67.5], shoonya_1sK0OFL741CJ71, 6491629]
[headline, [456.0, 504.0, 513.0, 67.5], shoonya_1sK0OFL741CJ71, 6491629]
[headline, [456.0, 571.5, 513.0, 67.5], shoonya_1sK0OFL741CJ71, 6491629]
[paragraph, [1078.0, 786.0, 275.0, 36.0], d-PnB-JZZX, 6491629]
[paragraph, [1078.0, 822.0, 275.0, 36.0], d-PnB-JZZX, 6491629]
[paragraph, [1078.0, 858.0, 275.0, 36.0], d-PnB-JZZX, 6491629]
[paragraph, [1078.0, 894.0, 275.0, 36.0], d-PnB-JZZX, 6491629]
[paragraph, [59.0, 817.0, 235.0, 36.0], shoonya_2sMXL9JGE9FFSU, 6491629]
[paragraph, [59.0, 853.0, 235.0, 36.0], shoonya_2sMXL9JGE9FFSU, 6491629]
[paragraph, [59.0, 889.0, 235.0, 36.0], shoonya_2sMXL9JGE9FFSU, 6491629]
[paragraph, [59.0, 925.0, 235.0, 36.0], shoonya_2sMXL9JGE9FFSU, 6491629]
[paragraph, [59.0, 961.0, 235.0, 36.0], shoonya_2sMXL9JGE9FFSU, 6491629]
[website-link, [1074.0, 987.0, 235.0, 18.0], WX8CVCrwSI, 6491629]
[website-link, [1074.0, 1005.0, 235.0, 18.0], WX8CVCrwSI, 6491629]
[website-link, [1074.0, 1023.0, 235.0, 18.0], WX8CVCrwSI, 6491629]
[paragraph, [44.0, 1051.0, 229.0, 36.0], eA4eUot7I-, 6491629]
[paragraph, [44.0, 1087.0, 229.0, 36.0], eA4eUot7I-, 6491629]
[paragraph, [44.0, 1123.0, 229.0, 36.0], eA4eUot7I-, 6491629]
[paragraph, [44.0, 1159.0, 229.0, 36.0], eA4eUot7I-, 6491629]
[paragraph, [1092.0, 1072.0, 281.0, 36.0], gFF_v83ATd, 6491629]
[paragraph, [1092.0, 1108.0, 281.0, 36.0], gFF_v83ATd, 6491629]
[paragraph, [1092.0, 1144.0, 281.0, 36.0], gFF_v83ATd, 6491629]
[paragraph, [1092.0, 1180.0, 281.0, 36.0], gFF_v83ATd, 6491629]
[paragraph, [1092.0, 1216.0, 281.0, 36.0], gFF_v83ATd, 6491629]
[dateline, [117.0, 1789.0, 416.0, 64.5], shoonya_4sBPXJSZJR5MTM, 6491629]
[dateline, [117.0, 1853.5, 416.0, 64.5], shoonya_4sBPXJSZJR5MTM, 6491629]
[folio, [1129.0, 1791.0, 182.0, 36.0], YkYUH5OLAt, 6491629]
[folio, [1129.0, 1827.0, 182.0, 36.0], YkYUH5OLAt, 6491629]
