[2339, 1656]
[paragraph, [182.0, 182.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 218.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 254.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 290.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 326.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 362.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 398.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 434.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 470.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 506.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 542.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 578.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 614.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 650.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 686.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 722.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 758.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 794.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 830.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 866.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 902.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 938.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 974.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 1010.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 1046.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 1082.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 1118.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [182.0, 1154.0, 1288.0, 36.0], shoonya_0s7FTABQ8ATY29, 5752289]
[paragraph, [281.0, 1204.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1240.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1276.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1312.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1348.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1384.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1420.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1456.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1492.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1528.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1564.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1600.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1636.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1672.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1708.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1744.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1780.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1816.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1852.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1888.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1924.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1960.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 1996.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[paragraph, [281.0, 2032.0, 637.0, 36.0], gwLpKqn4k3, 5752289]
[folio, [287.0, 2136.0, 494.0, 36.0], feqmQ9Q82A, 5752289]
[folio, [287.0, 2172.0, 494.0, 36.0], feqmQ9Q82A, 5752289]
[dateline, [1003.0, 2138.0, 360.0, 64.5], yhB4xGfnH2, 5752289]
