[3835, 2318]
[paragraph, [113.0, 394.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 446.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 499.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 551.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 604.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 656.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 709.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 761.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 814.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 866.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 919.0, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [113.0, 971.5, 2068.0, 52.5], 7PTKiFnJN5, 5720686]
[paragraph, [107.0, 1063.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1115.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1168.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1220.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1273.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1325.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1378.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1430.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1483.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1535.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1588.0, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [107.0, 1640.5, 2063.0, 52.5], CJvO9MO6xE, 5720686]
[paragraph, [104.0, 1730.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 1782.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 1835.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 1887.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 1940.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 1992.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2045.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2097.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2150.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2202.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2255.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2307.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2360.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2412.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2465.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2517.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2570.0, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [104.0, 2622.5, 2065.0, 52.5], W8KjgzTMKq, 5720686]
[paragraph, [101.0, 2716.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 2768.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 2821.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 2873.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 2926.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 2978.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3031.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3083.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3136.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3188.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3241.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3293.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3346.0, 2068.0, 52.5], TLdWn_e5PP, 5720686]
[paragraph, [101.0, 3398.5, 2068.0, 52.5], TLdWn_e5PP, 5720686]
