[789, 571]
[folio, [238.0, 58.0, 114.0, 18.0], shoonya_0sS7JNZYNJ0ZLM, 5701803]
[paragraph, [69.0, 97.0, 461.0, 18.0], shoonya_5sZVM2O097E07W, 5701803]
[paragraph, [69.0, 115.0, 461.0, 18.0], shoonya_5sZVM2O097E07W, 5701803]
[paragraph, [69.0, 133.0, 461.0, 18.0], shoonya_5sZVM2O097E07W, 5701803]
[paragraph, [69.0, 151.0, 461.0, 18.0], shoonya_5sZVM2O097E07W, 5701803]
[paragraph, [69.0, 169.0, 461.0, 18.0], shoonya_5sZVM2O097E07W, 5701803]
[paragraph, [110.0, 191.0, 143.0, 18.0], shoonya_6sXB9V7TUAGBTP, 5701803]
[paragraph, [67.0, 216.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [67.0, 234.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [67.0, 252.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [67.0, 270.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [67.0, 288.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [67.0, 306.0, 473.0, 18.0], gliHYLZMbq, 5701803]
[paragraph, [71.0, 331.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 349.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 367.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 385.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 403.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 421.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 439.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 457.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 475.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 493.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 511.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 529.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 547.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 565.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 583.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 601.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 619.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 637.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [71.0, 655.0, 460.0, 18.0], shoonya_3sDMCTSYQ53PI7, 5701803]
[paragraph, [112.0, 689.0, 242.0, 18.0], shoonya_1s845I5KGKFI6Q, 5701803]
[paragraph, [114.0, 716.0, 370.0, 18.0], shoonya_4sT2PJ9ELDOMA6, 5701803]
