[1008, 596]
[paragraph, [65.0, 92.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 110.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 128.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 146.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 164.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 182.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 200.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 218.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 236.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 254.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 272.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 290.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 308.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 326.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 344.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 362.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 380.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 398.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 416.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 434.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 452.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 470.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 488.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 506.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 524.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 542.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 560.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 578.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 596.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 614.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 632.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 650.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 668.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 686.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 704.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 722.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 740.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 758.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 776.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 794.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 812.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 830.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 848.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 866.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
[paragraph, [65.0, 884.0, 445.0, 18.0], shoonya_0sHQIYYGKIKD3F, 5771124]
