[681, 511]
[paragraph, [32.0, 56.0, 216.0, 18.0], shoonya_4s2ULVX7LZFKQD, 5761725]
[paragraph, [32.0, 74.0, 216.0, 18.0], shoonya_4s2ULVX7LZFKQD, 5761725]
[paragraph, [32.0, 92.0, 216.0, 18.0], shoonya_4s2ULVX7LZFKQD, 5761725]
[paragraph, [32.0, 110.0, 216.0, 18.0], shoonya_4s2ULVX7LZFKQD, 5761725]
[paragraph, [258.0, 57.0, 218.0, 18.0], shoonya_8sXFCEQ4K7PL86, 5761725]
[paragraph, [258.0, 75.0, 218.0, 18.0], shoonya_8sXFCEQ4K7PL86, 5761725]
[paragraph, [261.0, 114.0, 216.0, 18.0], shoonya_3s0FPG45VO4M3S, 5761725]
[paragraph, [261.0, 132.0, 216.0, 18.0], shoonya_3s0FPG45VO4M3S, 5761725]
[paragraph, [32.0, 139.0, 216.0, 18.0], shoonya_12s5Q8BIL6ZV9R, 5761725]
[paragraph, [32.0, 157.0, 216.0, 18.0], shoonya_12s5Q8BIL6ZV9R, 5761725]
[paragraph, [32.0, 175.0, 216.0, 18.0], shoonya_12s5Q8BIL6ZV9R, 5761725]
[paragraph, [32.0, 193.0, 216.0, 18.0], shoonya_12s5Q8BIL6ZV9R, 5761725]
[paragraph, [32.0, 211.0, 216.0, 18.0], shoonya_12s5Q8BIL6ZV9R, 5761725]
[paragraph, [262.0, 169.0, 214.0, 18.0], shoonya_13sO1U2CF4D68C, 5761725]
[paragraph, [262.0, 187.0, 214.0, 18.0], shoonya_13sO1U2CF4D68C, 5761725]
[paragraph, [262.0, 205.0, 214.0, 18.0], shoonya_13sO1U2CF4D68C, 5761725]
[paragraph, [33.0, 233.0, 216.0, 18.0], shoonya_5s9K3X1REZNRBL, 5761725]
[paragraph, [33.0, 251.0, 216.0, 18.0], shoonya_5s9K3X1REZNRBL, 5761725]
[paragraph, [33.0, 269.0, 216.0, 18.0], shoonya_5s9K3X1REZNRBL, 5761725]
[paragraph, [33.0, 287.0, 216.0, 18.0], shoonya_5s9K3X1REZNRBL, 5761725]
[paragraph, [33.0, 305.0, 216.0, 18.0], shoonya_5s9K3X1REZNRBL, 5761725]
[paragraph, [259.0, 237.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [259.0, 255.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [259.0, 273.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [259.0, 291.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [259.0, 309.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [259.0, 327.0, 218.0, 18.0], shoonya_6sLW5FWBH5CU6C, 5761725]
[paragraph, [33.0, 328.0, 216.0, 18.0], shoonya_7s7ESQHPN11Z6Q, 5761725]
[paragraph, [33.0, 346.0, 216.0, 18.0], shoonya_7s7ESQHPN11Z6Q, 5761725]
[paragraph, [33.0, 364.0, 216.0, 18.0], shoonya_7s7ESQHPN11Z6Q, 5761725]
[paragraph, [33.0, 382.0, 216.0, 18.0], shoonya_7s7ESQHPN11Z6Q, 5761725]
[paragraph, [259.0, 357.0, 217.0, 18.0], shoonya_11s4BBD07VIENS, 5761725]
[paragraph, [259.0, 375.0, 217.0, 18.0], shoonya_11s4BBD07VIENS, 5761725]
[paragraph, [259.0, 393.0, 217.0, 18.0], shoonya_11s4BBD07VIENS, 5761725]
[paragraph, [259.0, 411.0, 217.0, 18.0], shoonya_11s4BBD07VIENS, 5761725]
[paragraph, [259.0, 429.0, 217.0, 18.0], shoonya_11s4BBD07VIENS, 5761725]
[paragraph, [33.0, 409.0, 216.0, 18.0], shoonya_2sOEEK64BQ98BT, 5761725]
[paragraph, [33.0, 427.0, 216.0, 18.0], shoonya_2sOEEK64BQ98BT, 5761725]
[paragraph, [33.0, 445.0, 216.0, 18.0], shoonya_2sOEEK64BQ98BT, 5761725]
[paragraph, [33.0, 463.0, 216.0, 18.0], shoonya_2sOEEK64BQ98BT, 5761725]
[paragraph, [260.0, 463.0, 217.0, 18.0], shoonya_0sPGUMSJ84V1YV, 5761725]
[paragraph, [260.0, 481.0, 217.0, 18.0], shoonya_0sPGUMSJ84V1YV, 5761725]
[paragraph, [32.0, 490.0, 216.0, 18.0], shoonya_1sYD293P6L7NIF, 5761725]
[paragraph, [32.0, 508.0, 216.0, 18.0], shoonya_1sYD293P6L7NIF, 5761725]
[paragraph, [32.0, 526.0, 216.0, 18.0], shoonya_1sYD293P6L7NIF, 5761725]
[paragraph, [32.0, 544.0, 216.0, 18.0], shoonya_1sYD293P6L7NIF, 5761725]
[section-title, [284.0, 524.0, 167.0, 30.0], shoonya_14sZ03OAYRI7VP, 5761725]
[paragraph, [33.0, 572.0, 216.0, 18.0], shoonya_15s39NEOOLBH99, 5761725]
[paragraph, [33.0, 590.0, 216.0, 18.0], shoonya_15s39NEOOLBH99, 5761725]
[paragraph, [33.0, 608.0, 216.0, 18.0], shoonya_15s39NEOOLBH99, 5761725]
[paragraph, [260.0, 582.0, 217.0, 18.0], shoonya_10s99U01YJ2YVR, 5761725]
[paragraph, [260.0, 600.0, 217.0, 18.0], shoonya_10s99U01YJ2YVR, 5761725]
[paragraph, [260.0, 618.0, 217.0, 18.0], shoonya_10s99U01YJ2YVR, 5761725]
