[2340, 1735]
[paragraph, [357.0, 188.0, 1158.0, 36.0], H61gpEcwLl, 5734249]
[paragraph, [359.0, 288.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 324.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 360.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 396.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 432.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 468.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 504.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 540.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 576.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 612.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 648.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 684.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 720.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [359.0, 756.0, 1169.0, 36.0], shoonya_0sZ014WDAPRU44, 5734249]
[paragraph, [351.0, 863.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 899.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 935.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 971.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1007.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1043.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1079.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1115.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1151.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1187.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1223.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1259.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [351.0, 1295.0, 1177.0, 36.0], shoonya_1sLKI3SYLDDAF0, 5734249]
[paragraph, [352.0, 1374.0, 1174.0, 36.0], shoonya_4sOM95UK4Y92QW, 5734249]
[paragraph, [352.0, 1410.0, 1174.0, 36.0], shoonya_4sOM95UK4Y92QW, 5734249]
[paragraph, [352.0, 1446.0, 1174.0, 36.0], shoonya_4sOM95UK4Y92QW, 5734249]
[paragraph, [352.0, 1482.0, 1174.0, 36.0], shoonya_4sOM95UK4Y92QW, 5734249]
[paragraph, [348.0, 1587.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1623.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1659.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1695.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1731.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1767.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1803.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1839.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1875.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
[paragraph, [348.0, 1911.0, 1177.0, 36.0], shoonya_2sS72K3UM43FJM, 5734249]
