[585, 406]
[paragraph, [37.0, 52.0, 314.0, 18.0], hodPRjgBh2, 6496278]
[paragraph, [37.0, 70.0, 314.0, 18.0], hodPRjgBh2, 6496278]
[paragraph, [37.0, 88.0, 314.0, 18.0], hodPRjgBh2, 6496278]
[ordered-list, [30.0, 122.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 140.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 158.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 176.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 194.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 212.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 230.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 248.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 266.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 284.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 302.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 320.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 338.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 356.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 374.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 392.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 410.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 428.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 446.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 464.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 482.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[ordered-list, [30.0, 500.0, 329.0, 18.0], S0qYxj9kIK, 6496278]
[sub-ordered-list, [49.0, 123.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 141.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 159.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 177.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 195.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 213.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 231.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 249.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 267.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 285.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 303.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 321.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 339.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 357.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 375.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 393.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 411.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 429.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 447.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 465.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 483.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[sub-ordered-list, [49.0, 501.0, 304.0, 18.0], _L-Uk_1tnW, 6496278]
[paragraph, [4722.0, 5887.0, 34786.0, 18.0], shoonya_1s5RJ5A2X4C3N7, 6496278]
[paragraph, [4722.0, 5905.0, 34786.0, 18.0], shoonya_1s5RJ5A2X4C3N7, 6496278]
[paragraph, [4722.0, 5923.0, 34786.0, 18.0], shoonya_1s5RJ5A2X4C3N7, 6496278]
